f,s,t,fou
2,64,536,22
64,65,537,536
65,66,538,537
66,67,539,538
67,68,540,539
68,69,541,540
69,70,542,541
70,71,543,542
71,72,544,543
72,73,545,544
73,74,546,545
74,75,547,546
75,76,548,547
76,77,549,548
77,78,550,549
78,79,551,550
79,80,552,551
80,81,553,552
81,82,554,553
82,83,555,554
83,84,556,555
84,85,557,556
85,86,558,557
86,87,559,558
87,88,560,559
88,89,561,560
89,90,562,561
90,91,563,562
91,92,564,563
92,93,565,564
93,94,566,565
94,95,567,566
95,96,568,567
96,97,569,568
97,98,570,569
98,99,571,570
99,100,572,571
100,101,573,572
101,102,574,573
102,103,575,574
103,104,576,575
104,105,577,576
105,106,578,577
106,107,579,578
107,108,580,579
108,109,581,580
109,110,582,581
110,111,583,582
111,112,584,583
112,113,585,584
113,114,586,585
114,115,587,586
115,116,588,587
116,117,589,588
117,118,590,589
118,119,591,590
119,120,592,591
120,121,593,592
121,122,594,593
122,123,595,594
123,124,596,595
124,125,597,596
125,126,598,597
126,127,599,598
127,128,600,599
128,129,601,600
129,130,602,601
130,131,603,602
131,132,604,603
132,133,605,604
133,134,606,605
134,135,607,606
135,136,608,607
136,137,609,608
137,138,610,609
138,139,611,610
139,140,612,611
140,141,613,612
141,142,614,613
142,143,615,614
143,144,616,615
144,145,617,616
145,146,618,617
146,147,619,618
147,148,620,619
148,149,621,620
149,150,622,621
150,151,623,622
151,152,624,623
152,153,625,624
153,154,626,625
154,155,627,626
155,156,628,627
156,157,629,628
157,158,630,629
158,159,631,630
159,160,632,631
160,161,633,632
161,162,634,633
162,163,635,634
163,164,636,635
164,165,637,636
165,166,638,637
166,167,639,638
167,168,640,639
168,169,641,640
169,170,642,641
170,171,643,642
171,172,644,643
172,173,645,644
173,174,646,645
174,175,647,646
175,176,648,647
176,177,649,648
177,178,650,649
178,179,651,650
179,180,652,651
180,181,653,652
181,6,49,653
22,536,654,23
536,537,655,654
537,538,656,655
538,539,657,656
539,540,658,657
540,541,659,658
541,542,660,659
542,543,661,660
543,544,662,661
544,545,663,662
545,546,664,663
546,547,665,664
547,548,666,665
548,549,667,666
549,550,668,667
550,551,669,668
551,552,670,669
552,553,671,670
553,554,672,671
554,555,673,672
555,556,674,673
556,557,675,674
557,558,676,675
558,559,677,676
559,560,678,677
560,561,679,678
561,562,680,679
562,563,681,680
563,564,682,681
564,565,683,682
565,566,684,683
566,567,685,684
567,568,686,685
568,569,687,686
569,570,688,687
570,571,689,688
571,572,690,689
572,573,691,690
573,574,692,691
574,575,693,692
575,576,694,693
576,577,695,694
577,578,696,695
578,579,697,696
579,580,698,697
580,581,699,698
581,582,700,699
582,583,701,700
583,584,702,701
584,585,703,702
585,586,704,703
586,587,705,704
587,588,706,705
588,589,707,706
589,590,708,707
590,591,709,708
591,592,710,709
592,593,711,710
593,594,712,711
594,595,713,712
595,596,714,713
596,597,715,714
597,598,716,715
598,599,717,716
599,600,718,717
600,601,719,718
601,602,720,719
602,603,721,720
603,604,722,721
604,605,723,722
605,606,724,723
606,607,725,724
607,608,726,725
608,609,727,726
609,610,728,727
610,611,729,728
611,612,730,729
612,613,731,730
613,614,732,731
614,615,733,732
615,616,734,733
616,617,735,734
617,618,736,735
618,619,737,736
619,620,738,737
620,621,739,738
621,622,740,739
622,623,741,740
623,624,742,741
624,625,743,742
625,626,744,743
626,627,745,744
627,628,746,745
628,629,747,746
629,630,748,747
630,631,749,748
631,632,750,749
632,633,751,750
633,634,752,751
634,635,753,752
635,636,754,753
636,637,755,754
637,638,756,755
638,639,757,756
639,640,758,757
640,641,759,758
641,642,760,759
642,643,761,760
643,644,762,761
644,645,763,762
645,646,764,763
646,647,765,764
647,648,766,765
648,649,767,766
649,650,768,767
650,651,769,768
651,652,770,769
652,653,771,770
653,49,48,771
23,654,772,24
654,655,773,772
655,656,774,773
656,657,775,774
657,658,776,775
658,659,777,776
659,660,778,777
660,661,779,778
661,662,780,779
662,663,781,780
663,664,782,781
664,665,783,782
665,666,784,783
666,667,785,784
667,668,786,785
668,669,787,786
669,670,788,787
670,671,789,788
671,672,790,789
672,673,791,790
673,674,792,791
674,675,793,792
675,676,794,793
676,677,795,794
677,678,796,795
678,679,797,796
679,680,798,797
680,681,799,798
681,682,800,799
682,683,801,800
683,684,802,801
684,685,803,802
685,686,804,803
686,687,805,804
687,688,806,805
688,689,807,806
689,690,808,807
690,691,809,808
691,692,810,809
692,693,811,810
693,694,812,811
694,695,813,812
695,696,814,813
696,697,815,814
697,698,816,815
698,699,817,816
699,700,818,817
700,701,819,818
701,702,820,819
702,703,821,820
703,704,822,821
704,705,823,822
705,706,824,823
706,707,825,824
707,708,826,825
708,709,827,826
709,710,828,827
710,711,829,828
711,712,830,829
712,713,831,830
713,714,832,831
714,715,833,832
715,716,834,833
716,717,835,834
717,718,836,835
718,719,837,836
719,720,838,837
720,721,839,838
721,722,840,839
722,723,841,840
723,724,842,841
724,725,843,842
725,726,844,843
726,727,845,844
727,728,846,845
728,729,847,846
729,730,848,847
730,731,849,848
731,732,850,849
732,733,851,850
733,734,852,851
734,735,853,852
735,736,854,853
736,737,855,854
737,738,856,855
738,739,857,856
739,740,858,857
740,741,859,858
741,742,860,859
742,743,861,860
743,744,862,861
744,745,863,862
745,746,864,863
746,747,865,864
747,748,866,865
748,749,867,866
749,750,868,867
750,751,869,868
751,752,870,869
752,753,871,870
753,754,872,871
754,755,873,872
755,756,874,873
756,757,875,874
757,758,876,875
758,759,877,876
759,760,878,877
760,761,879,878
761,762,880,879
762,763,881,880
763,764,882,881
764,765,883,882
765,766,884,883
766,767,885,884
767,768,886,885
768,769,887,886
769,770,888,887
770,771,889,888
771,48,47,889
24,772,890,25
772,773,891,890
773,774,892,891
774,775,893,892
775,776,894,893
776,777,895,894
777,778,896,895
778,779,897,896
779,780,898,897
780,781,899,898
781,782,900,899
782,783,901,900
783,784,902,901
784,785,903,902
785,786,904,903
786,787,905,904
787,788,906,905
788,789,907,906
789,790,908,907
790,791,909,908
791,792,910,909
792,793,911,910
793,794,912,911
794,795,913,912
795,796,914,913
796,797,915,914
797,798,916,915
798,799,917,916
799,800,918,917
800,801,919,918
801,802,920,919
802,803,921,920
803,804,922,921
804,805,923,922
805,806,924,923
806,807,925,924
807,808,926,925
808,809,927,926
809,810,928,927
810,811,929,928
811,812,930,929
812,813,931,930
813,814,932,931
814,815,933,932
815,816,934,933
816,817,935,934
817,818,936,935
818,819,937,936
819,820,938,937
820,821,939,938
821,822,940,939
822,823,941,940
823,824,942,941
824,825,943,942
825,826,944,943
826,827,945,944
827,828,946,945
828,829,947,946
829,830,948,947
830,831,949,948
831,832,950,949
832,833,951,950
833,834,952,951
834,835,953,952
835,836,954,953
836,837,955,954
837,838,956,955
838,839,957,956
839,840,958,957
840,841,959,958
841,842,960,959
842,843,961,960
843,844,962,961
844,845,963,962
845,846,964,963
846,847,965,964
847,848,966,965
848,849,967,966
849,850,968,967
850,851,969,968
851,852,970,969
852,853,971,970
853,854,972,971
854,855,973,972
855,856,974,973
856,857,975,974
857,858,976,975
858,859,977,976
859,860,978,977
860,861,979,978
861,862,980,979
862,863,981,980
863,864,982,981
864,865,983,982
865,866,984,983
866,867,985,984
867,868,986,985
868,869,987,986
869,870,988,987
870,871,989,988
871,872,990,989
872,873,991,990
873,874,992,991
874,875,993,992
875,876,994,993
876,877,995,994
877,878,996,995
878,879,997,996
879,880,998,997
880,881,999,998
881,882,1000,999
882,883,1001,1000
883,884,1002,1001
884,885,1003,1002
885,886,1004,1003
886,887,1005,1004
887,888,1006,1005
888,889,1007,1006
889,47,46,1007
25,890,1008,26
890,891,1009,1008
891,892,1010,1009
892,893,1011,1010
893,894,1012,1011
894,895,1013,1012
895,896,1014,1013
896,897,1015,1014
897,898,1016,1015
898,899,1017,1016
899,900,1018,1017
900,901,1019,1018
901,902,1020,1019
902,903,1021,1020
903,904,1022,1021
904,905,1023,1022
905,906,1024,1023
906,907,1025,1024
907,908,1026,1025
908,909,1027,1026
909,910,1028,1027
910,911,1029,1028
911,912,1030,1029
912,913,1031,1030
913,914,1032,1031
914,915,1033,1032
915,916,1034,1033
916,917,1035,1034
917,918,1036,1035
918,919,1037,1036
919,920,1038,1037
920,921,1039,1038
921,922,1040,1039
922,923,1041,1040
923,924,1042,1041
924,925,1043,1042
925,926,1044,1043
926,927,1045,1044
927,928,1046,1045
928,929,1047,1046
929,930,1048,1047
930,931,1049,1048
931,932,1050,1049
932,933,1051,1050
933,934,1052,1051
934,935,1053,1052
935,936,1054,1053
936,937,1055,1054
937,938,1056,1055
938,939,1057,1056
939,940,1058,1057
940,941,1059,1058
941,942,1060,1059
942,943,1061,1060
943,944,1062,1061
944,945,1063,1062
945,946,1064,1063
946,947,1065,1064
947,948,1066,1065
948,949,1067,1066
949,950,1068,1067
950,951,1069,1068
951,952,1070,1069
952,953,1071,1070
953,954,1072,1071
954,955,1073,1072
955,956,1074,1073
956,957,1075,1074
957,958,1076,1075
958,959,1077,1076
959,960,1078,1077
960,961,1079,1078
961,962,1080,1079
962,963,1081,1080
963,964,1082,1081
964,965,1083,1082
965,966,1084,1083
966,967,1085,1084
967,968,1086,1085
968,969,1087,1086
969,970,1088,1087
970,971,1089,1088
971,972,1090,1089
972,973,1091,1090
973,974,1092,1091
974,975,1093,1092
975,976,1094,1093
976,977,1095,1094
977,978,1096,1095
978,979,1097,1096
979,980,1098,1097
980,981,1099,1098
981,982,1100,1099
982,983,1101,1100
983,984,1102,1101
984,985,1103,1102
985,986,1104,1103
986,987,1105,1104
987,988,1106,1105
988,989,1107,1106
989,990,1108,1107
990,991,1109,1108
991,992,1110,1109
992,993,1111,1110
993,994,1112,1111
994,995,1113,1112
995,996,1114,1113
996,997,1115,1114
997,998,1116,1115
998,999,1117,1116
999,1000,1118,1117
1000,1001,1119,1118
1001,1002,1120,1119
1002,1003,1121,1120
1003,1004,1122,1121
1004,1005,1123,1122
1005,1006,1124,1123
1006,1007,1125,1124
1007,46,45,1125
26,1008,1126,27
1008,1009,1127,1126
1009,1010,1128,1127
1010,1011,1129,1128
1011,1012,1130,1129
1012,1013,1131,1130
1013,1014,1132,1131
1014,1015,1133,1132
1015,1016,1134,1133
1016,1017,1135,1134
1017,1018,1136,1135
1018,1019,1137,1136
1019,1020,1138,1137
1020,1021,1139,1138
1021,1022,1140,1139
1022,1023,1141,1140
1023,1024,1142,1141
1024,1025,1143,1142
1025,1026,1144,1143
1026,1027,1145,1144
1027,1028,1146,1145
1028,1029,1147,1146
1029,1030,1148,1147
1030,1031,1149,1148
1031,1032,1150,1149
1032,1033,1151,1150
1033,1034,1152,1151
1034,1035,1153,1152
1035,1036,1154,1153
1036,1037,1155,1154
1037,1038,1156,1155
