f,s,t,fou
72,81,102,102
109,50,122,122
50,109,135,135
45,86,103,103
93,43,95,95
89,54,91,91
102,81,128,128
103,86,126,126
79,72,102,102
43,93,136,136
91,54,129,129
91,48,92,92
92,48,93,93
86,45,128,128
95,43,96,96
56,109,122,122
83,111,135,135
54,89,119,119
121,55,126,126
86,87,126,126
68,64,97,97
92,94,118,118
120,53,127,127
111,83,137,137
74,94,95,95
111,50,135,135
127,125,142,142
94,97,118,118
64,63,97,97
74,68,97,97
92,93,94,94
121,126,144,144
48,91,129,129
74,95,123,123
94,74,97,97
94,93,95,95
42,57,58,58
19,18,101,101
18,44,101,101
42,28,57,57
88,51,89,89
98,47,104,104
41,10,99,99
9,10,41,41
27,28,42,42
36,37,43,43
9,41,100,100
47,26,104,104
101,44,102,102
46,8,100,100
57,51,88,88
88,89,90,90
47,98,107,107
27,42,104,104
20,45,103,103
29,51,57,57
8,9,100,100
47,107,114,114
45,19,101,101
42,58,59,59
107,109,114,114
11,49,99,99
26,27,104,104
28,29,57,57
10,11,99,99
42,59,104,104
90,89,91,91
20,19,45,45
59,98,104,104
109,56,114,114
90,91,92,92
38,39,52,52
29,30,51,51
55,21,103,103
21,20,103,103
59,58,60,60
71,79,80,80
11,12,49,49
65,71,110,110
62,65,110,110
71,80,110,110
80,108,110,110
98,61,108,108
108,61,110,110
59,60,61,61
22,21,55,55
61,62,110,110
80,79,83,83
71,72,79,79
58,57,88,88
84,107,108,108
80,84,108,108
107,84,109,109
59,61,98,98
80,83,84,84
107,98,108,108
61,60,62,62
18,17,44,44
62,60,63,63
62,63,64,64
65,64,66,66
23,24,56,56
62,64,65,65
66,64,68,68
66,68,69,69
16,15,50,50
44,17,111,111
7,8,46,46
25,26,47,47
34,35,48,48
17,16,111,111
16,50,111,111
77,75,78,78
65,67,71,71
69,75,77,77
70,68,74,74
78,75,105,105
77,78,85,85
56,24,114,114
25,47,114,114
69,70,75,75
65,66,67,67
24,25,114,114
6,7,112,112
7,46,112,112
71,67,72,72
66,69,113,113
105,76,106,106
115,85,117,117
69,68,70,70
75,76,105,105
88,90,116,116
75,70,76,76
69,77,113,113
5,6,53,53
32,33,54,54
67,66,113,113
72,67,73,73
72,73,81,81
82,115,117,117
81,82,86,86
81,73,82,82
86,82,87,87
53,6,112,112
60,58,116,116
73,67,113,113
77,85,115,115
113,77,115,115
63,60,116,116
82,73,115,115
58,88,116,116
73,113,115,115
87,82,117,117
106,125,127,127
95,96,123,123
76,123,125,125
127,53,143,143
97,63,118,118
90,92,118,118
63,116,118,118
96,43,124,124
116,90,118,118
89,51,119,119
30,31,119,119
39,40,120,120
12,13,121,121
15,14,122,122
76,70,123,123
123,96,125,125
43,37,124,124
38,52,124,124
93,48,136,136
101,102,128,128
81,86,128,128
52,39,120,120
51,30,119,119
49,12,121,121
50,15,122,122
70,74,123,123
34,48,129,129
54,33,129,129
109,84,135,135
36,43,136,136
48,35,136,136
44,111,137,137
13,2,138,138
2,22,138,138
14,3,139,139
3,23,139,139
40,1,140,140
31,4,141,141
1,5,140,140
4,32,141,141
52,127,142,142
37,38,124,124
106,76,125,125
55,103,126,126
45,101,128,128
79,102,137,137
52,120,127,127
53,112,143,143
83,79,137,137
131,78,132,132
117,130,134,134
130,85,131,131
78,105,132,132
85,78,131,131
105,106,133,133
132,105,133,133
117,85,130,130
33,34,129,129
87,117,134,134
41,99,130,130
130,99,134,134
100,131,132,132
41,130,131,131
46,100,132,132
100,41,131,131
99,49,134,134
112,46,133,133
46,132,133,133
84,83,135,135
35,36,136,136
102,44,137,137
49,121,144,144
119,31,141,141
120,40,140,140
121,13,138,138
122,14,139,139
22,55,138,138
23,56,139,139
5,53,140,140
32,54,141,141
124,52,142,142
53,120,140,140
54,119,141,141
55,121,138,138
56,122,139,139
96,124,142,142
125,96,142,142
126,87,144,144
106,127,143,143
112,133,143,143
133,106,143,143
87,134,144,144
134,49,144,144
