f,s,t,fou,group
2,244,644,67,PerfectCondCondition
244,245,645,644,PerfectCondCondition
245,246,646,645,PerfectCondCondition
246,247,647,646,PerfectCondCondition
247,248,648,647,PerfectCondCondition
248,249,649,648,PerfectCondCondition
249,250,650,649,PerfectCondCondition
250,251,651,650,PerfectCondCondition
251,252,652,651,PerfectCondCondition
252,253,653,652,PerfectCondCondition
253,254,654,653,PerfectCondCondition
254,255,655,654,PerfectCondCondition
255,256,656,655,PerfectCondCondition
256,257,657,656,PerfectCondCondition
257,258,658,657,PerfectCondCondition
258,259,659,658,PerfectCondCondition
259,260,660,659,PerfectCondCondition
260,261,661,660,PerfectCondCondition
261,262,662,661,PerfectCondCondition
262,263,663,662,PerfectCondCondition
263,264,664,663,PerfectCondCondition
264,265,665,664,PerfectCondCondition
265,266,666,665,PerfectCondCondition
266,267,667,666,PerfectCondCondition
267,268,668,667,PerfectCondCondition
268,269,669,668,PerfectCondCondition
269,270,670,669,PerfectCondCondition
270,271,671,670,PerfectCondCondition
271,272,672,671,PerfectCondCondition
272,273,673,672,PerfectCondCondition
273,274,674,673,PerfectCondCondition
274,275,675,674,PerfectCondCondition
275,276,676,675,PerfectCondCondition
276,277,677,676,PerfectCondCondition
277,278,678,677,PerfectCondCondition
278,279,679,678,PerfectCondCondition
279,280,680,679,PerfectCondCondition
280,281,681,680,PerfectCondCondition
281,282,682,681,PerfectCondCondition
282,283,683,682,PerfectCondCondition
283,284,684,683,PerfectCondCondition
284,285,685,684,PerfectCondCondition
285,286,686,685,PerfectCondCondition
286,287,687,686,PerfectCondCondition
287,288,688,687,PerfectCondCondition
288,289,689,688,PerfectCondCondition
289,290,690,689,PerfectCondCondition
290,291,691,690,PerfectCondCondition
291,292,692,691,PerfectCondCondition
292,293,693,692,PerfectCondCondition
293,294,694,693,PerfectCondCondition
294,295,695,694,PerfectCondCondition
295,296,696,695,PerfectCondCondition
296,297,697,696,PerfectCondCondition
297,298,698,697,PerfectCondCondition
298,299,699,698,PerfectCondCondition
299,300,700,699,PerfectCondCondition
300,301,701,700,PerfectCondCondition
301,302,702,701,PerfectCondCondition
302,303,703,702,PerfectCondCondition
303,304,704,703,PerfectCondCondition
304,305,705,704,PerfectCondCondition
305,306,706,705,PerfectCondCondition
306,307,707,706,PerfectCondCondition
307,308,708,707,PerfectCondCondition
308,309,709,708,PerfectCondCondition
309,310,710,709,PerfectCondCondition
310,311,711,710,PerfectCondCondition
311,312,712,711,PerfectCondCondition
312,313,713,712,PerfectCondCondition
313,314,714,713,PerfectCondCondition
314,315,715,714,PerfectCondCondition
315,316,716,715,PerfectCondCondition
316,317,717,716,PerfectCondCondition
317,318,718,717,PerfectCondCondition
318,319,719,718,PerfectCondCondition
319,320,720,719,PerfectCondCondition
320,321,721,720,PerfectCondCondition
321,322,722,721,PerfectCondCondition
322,323,723,722,PerfectCondCondition
323,324,724,723,PerfectCondCondition
324,325,725,724,PerfectCondCondition
325,326,726,725,PerfectCondCondition
326,327,727,726,PerfectCondCondition
327,328,728,727,PerfectCondCondition
328,329,729,728,PerfectCondCondition
329,330,730,729,PerfectCondCondition
330,331,731,730,PerfectCondCondition
331,332,732,731,PerfectCondCondition
332,333,733,732,PerfectCondCondition
333,334,734,733,PerfectCondCondition
334,335,735,734,PerfectCondCondition
335,336,736,735,PerfectCondCondition
336,337,737,736,PerfectCondCondition
337,338,738,737,PerfectCondCondition
338,339,739,738,PerfectCondCondition
339,340,740,739,PerfectCondCondition
340,341,741,740,PerfectCondCondition
