f,s,t,fou
351,5684,6081,6081
4107,339,6855,6855
3991,6836,6990,6990
360,3993,6848,6848
4541,356,6849,6849
5684,351,6988,6988
408,4663,5417,5417
324,5245,6022,6022
6836,424,6990,6990
3993,360,6987,6987
356,4541,6986,6986
4033,362,4048,4048
3977,4539,6665,6665
413,4798,5433,5433
3988,426,5839,5839
3989,432,6137,6137
3990,4261,5949,5949
4013,398,4552,4552
5163,372,5164,5164
4663,408,6983,6983
324,6022,6980,6980
5254,371,6863,6863
379,4010,6862,6862
342,4024,5406,5406
339,4107,6961,6961
380,4604,4668,4668
5278,3688,5448,5448
3664,5385,5386,5386
4877,3681,4878,4878
3691,5710,5736,5736
421,4652,5783,5783
320,4028,4082,4082
4014,402,5077,5077
333,5256,6932,6932
5020,336,6933,6933
4018,3996,6871,6871
3996,6870,6871,6871
3997,6879,6880,6880
4019,3997,6880,6880
4004,4020,6928,6928
4020,6927,6928,6928
4016,6882,6883,6883
4000,4016,6883,6883
3720,3721,6923,6923
3721,6922,6923,6923
4017,6885,6886,6886
4001,4017,6886,6886
4161,6888,6889,6889
4160,4161,6889,6889
4021,3999,6920,6920
3999,6919,6920,6920
4023,3998,6917,6917
3998,6916,6917,6917
6911,4598,6912,6912
4597,4598,6911,6911
6908,4478,6909,6909
4477,4478,6908,6908
4299,4300,5039,5039
4729,381,4731,4731
433,4051,4052,4052
3656,4696,5907,5907
4048,362,6969,6969
5907,4696,6938,6938
4299,5039,7003,7003
366,4029,4031,4031
5262,4040,6625,6625
4798,413,6967,6967
426,3988,6968,6968
6027,3995,6992,6992
328,4034,4036,4036
5164,372,6970,6970
432,3989,6966,6966
4539,3956,6665,6665
6856,6866,6971,6971
371,5254,6963,6963
4010,379,6964,6964
6866,4665,6971,6971
332,4037,4039,4039
329,4025,5854,5854
398,4013,6962,6962
4604,380,6973,6973
4041,357,4105,4105
4325,4032,5610,5610
320,4082,6974,6974
428,6027,6992,6992
381,4729,6991,6991
411,4043,4044,4044
5256,333,6958,6958
336,5020,6959,6959
156,155,6831,6831
233,234,4367,4367
407,4578,6867,6867
4578,407,6868,6868
382,3996,6869,6869
3996,382,6870,6870
358,4724,6872,6872
4724,358,6873,6873
340,4149,6876,6876
4149,340,6877,6877
412,3997,6878,6878
3997,412,6879,6879
4152,414,6875,6875
414,4152,6874,6874
331,4016,6881,6881
4016,331,6882,6882
376,4017,6884,6884
4017,376,6885,6885
323,4161,6887,6887
4161,323,6888,6888
373,4126,6890,6890
4126,373,6891,6891
417,4003,6892,6892
4003,417,6893,6893
316,4514,6894,6894
4514,316,6895,6895
418,4005,6896,6896
4005,418,6897,6897
352,4795,6898,6898
4795,352,6899,6899
431,4534,6900,6900
4534,431,6901,6901
309,4007,6902,6902
4007,309,6903,6903
4310,3753,6904,6904
3753,4310,6905,6905
4008,348,6906,6906
4478,3170,6909,6909
3170,4478,6910,6910
407,4665,6866,6866
4665,407,6867,6867
382,4578,6868,6868
4578,382,6869,6869
3712,4598,6913,6913
4598,3712,6912,6912
358,4018,6871,6871
4018,358,6872,6872
4009,400,6914,6914
414,4724,6873,6873
4724,414,6874,6874
4152,340,6876,6876
321,3998,6915,6915
3998,321,6916,6916
340,4152,6875,6875
412,4149,6877,6877
4149,412,6878,6878
4019,331,6881,6881
331,4019,6880,6880
376,4000,6883,6883
4000,376,6884,6884
323,4001,6886,6886
4001,323,6887,6887
3999,365,6919,6919
365,3999,6918,6918
373,4160,6889,6889
4160,373,6890,6890
417,4126,6891,6891
4126,417,6892,6892
316,4003,6893,6893
4003,316,6894,6894
4006,397,6924,6924
418,4514,6895,6895
4514,418,6896,6896
3721,4537,6922,6922
4537,3721,6926,6926
