f,s,t,fou
840,178,841,841
828,159,1087,1087
955,189,1185,1185
1317,185,1349,1349
173,847,966,966
159,828,1384,1384
813,937,938,938
955,1185,1359,1359
178,840,1375,1375
158,848,868,868
185,1317,1383,1383
176,865,1091,1091
163,1041,1355,1355
143,846,1106,1106
933,884,934,934
966,847,1381,1381
154,844,973,973
151,843,1086,1086
678,890,1234,1234
1038,156,1365,1365
813,938,1379,1379
190,975,1337,1337
158,868,1377,1377
1041,163,1378,1378
934,884,935,935
865,176,1376,1376
890,678,1360,1360
150,852,853,853
1106,846,1372,1372
183,956,1359,1359
116,117,935,935
844,154,1361,1361
181,850,852,852
1185,183,1359,1359
156,1038,1371,1371
841,178,842,842
910,667,1340,1340
975,190,1380,1380
1086,843,1369,1369
1040,1038,1365,1365
184,974,975,975
667,910,1412,1412
1180,1103,1385,1385
973,844,1367,1367
843,151,1368,1368
43,1355,1365,1365
150,853,854,854
1022,155,1392,1392
1392,155,1393,1393
117,934,935,935
143,116,935,935
1041,1040,1355,1355
184,868,974,974
835,1094,1384,1384
191,1317,1349,1349
852,150,1382,1382
1043,1098,1383,1383
1234,890,1366,1366
840,839,1064,1064
856,146,1381,1381
884,933,1357,1357
190,1337,1347,1347
189,955,1348,1348
1103,182,1385,1385
929,862,1387,1387
862,929,1388,1388
1019,863,1395,1395
863,1019,1398,1398
1009,928,1400,1400
928,1009,1399,1399
146,856,1379,1379
1098,1043,1378,1378
1356,954,1409,1409
1346,504,1353,1353
1355,1040,1365,1365
1094,835,1376,1376
846,143,1374,1374
888,890,1360,1360
181,852,1382,1382
1091,865,1363,1363
651,1136,1344,1344
850,181,1372,1372
1103,1180,1373,1373
848,158,1362,1362
592,917,1339,1339
937,813,1366,1366
956,758,1359,1359
847,173,1367,1367
1034,1155,1368,1368
1094,159,1384,1384
828,1087,1369,1369
1155,1034,1439,1439
854,853,855,855
1341,538,1343,1343
758,1356,1409,1409
1098,185,1383,1383
1064,839,1408,1408
1344,1136,1410,1410
952,1346,1353,1353
854,855,1345,1345
146,966,1381,1381
845,844,1361,1361
1058,1358,1364,1364
855,1338,1345,1345
842,178,1351,1351
184,975,1380,1380
855,1341,1343,1343
1099,1371,1440,1440
948,954,1356,1356
99,161,1331,1331
1107,871,1267,1267
558,871,872,872
558,872,1109,1109
424,425,1280,1280
871,558,1267,1267
608,682,1149,1149
873,817,1097,1097
682,817,873,873
682,873,1149,1149
869,608,1149,1149
425,553,877,877
769,874,1274,1274
773,1053,1265,1265
425,877,1280,1280
874,223,1274,1274
1053,227,1265,1265
875,232,1211,1211
918,875,1211,1211
1032,918,1211,1211
689,815,1311,1311
608,869,877,877
553,608,877,877
870,679,1263,1263
770,1054,1122,1122
564,562,1320,1320
979,331,1318,1318
91,1309,1326,1326
870,1107,1267,1267
684,918,1032,1032
331,1271,1273,1273
1054,643,1122,1122
918,684,1144,1144
684,1054,1144,1144
679,870,1267,1267
643,878,1122,1122
1097,817,1287,1287
643,781,878,878
1109,872,1271,1271
560,424,1280,1280
1054,770,1144,1144
562,560,1282,1282
1271,872,1273,1273
878,781,986,986
560,1280,1282,1282
781,880,986,986
1053,769,1274,1274
880,414,986,986
875,773,1265,1265
223,874,1281,1281
227,1053,1274,1274
679,1077,1263,1263
284,414,1221,1221
1077,1201,1263,1263
232,875,1265,1265
161,1285,1331,1331
414,880,1221,1221
885,861,1029,1029
879,885,1029,1029
60,59,961,961
728,879,1029,1029
810,1136,1305,1305
700,870,1263,1263
467,1028,1299,1299
899,1061,1208,1208
991,1076,1313,1313
882,666,883,883
879,728,959,959
775,882,883,883
812,551,1304,1304
1081,1082,1314,1314
73,177,1315,1315
75,160,1316,1316
959,728,1225,1225
527,959,1225,1225
84,85,898,898
907,140,911,911
666,882,884,884
815,1192,1311,1311
141,915,916,916
141,914,915,915
1120,1004,1292,1292
138,193,194,194
1024,791,1177,1177
898,899,1208,1208
458,990,1120,1120
138,88,193,193
139,121,887,887
792,1112,1140,1140
960,780,1278,1278
137,22,891,891
296,1102,1147,1147
139,887,888,888
777,945,1114,1114
278,281,1297,1297
790,420,900,900
180,894,895,895
1209,678,1234,1234
1060,894,1105,1105
180,895,1101,1101
894,180,1105,1105
141,58,914,914
719,1001,1275,1275
1060,144,1061,1061
144,1060,1105,1105
919,896,1146,1146
714,1191,1286,1286
55,54,907,907
54,140,907,907
709,957,958,958
697,919,1146,1146
896,615,1146,1146
174,60,961,961
170,892,897,897
776,783,905,905
1061,144,1208,1208
812,1209,1234,1234
1202,209,1218,1218
1122,706,1272,1272
59,141,961,961
193,166,876,876
1101,895,1201,1201
780,694,941,941
775,883,1001,1001
945,906,1114,1114
892,170,942,942
887,167,890,890
902,777,1114,1114
976,295,1252,1252
990,458,1202,1202
957,774,958,958
171,931,932,932
171,932,933,933
779,920,1121,1121
990,1202,1218,1218
629,621,969,969
412,995,1027,1027
688,729,1236,1236
629,969,970,970
281,284,1221,1221
313,921,1046,1046
920,779,1046,1046
921,920,1046,1046
906,502,1114,1114
85,170,898,898
977,1156,1212,1212
21,22,137,137
87,88,138,138
120,121,139,139
714,1148,1248,1248
357,358,1055,1055
502,906,1126,1126
720,721,964,964
900,420,958,958
1179,784,1184,1184
695,502,1126,1126
154,130,953,953
822,784,1179,1179
814,727,1270,1270
58,57,914,914
138,195,942,942
709,779,957,957
87,138,942,942
963,720,964,964
331,1273,1318,1318
1085,695,1126,1126
822,1179,1180,1180
1102,919,1147,1147
1148,1147,1248,1248
1181,785,1184,1184
777,622,945,945
89,166,193,193
122,167,887,887
125,146,938,938
921,313,1026,1026
23,165,891,891
957,779,1121,1121
778,901,945,945
1088,799,1256,1256
629,970,971,971
117,118,934,934
562,1282,1320,1320
460,939,981,981
1136,651,1305,1305
784,1181,1184,1184
296,1147,1148,1148
168,55,907,907
1028,803,1299,1299
225,1024,1177,1177
21,137,922,922
120,139,931,931
694,901,941,941
556,1259,1261,1261
1112,634,1140,1140
901,778,941,941
84,898,1208,1208
391,1245,1260,1260
971,718,1125,1125
900,785,1178,1178
774,900,958,958
1131,1080,1153,1153
792,905,1112,1112
169,20,922,922
171,119,931,931
1254,814,1270,1270
776,905,1055,1055
941,791,1024,1024
195,892,942,942
777,902,969,969
995,412,1135,1135
919,697,1147,1147
130,131,953,953
1178,785,1181,1181
621,777,969,969
221,960,1278,1278
1254,572,1308,1308
139,889,931,931
976,977,1212,1212
939,460,1023,1023
921,1026,1199,1199
786,940,1123,1123
20,21,922,922
119,120,931,931
1309,818,1326,1326
895,700,1263,1263
458,1120,1292,1292
622,778,945,945
931,889,932,932
88,89,193,193
121,122,887,887
905,783,1112,1112
943,944,1008,1008
22,23,891,891
56,55,168,168
89,90,166,166
122,123,167,167
780,941,1024,1024
629,971,1125,1125
790,900,1178,1178
168,907,908,908
582,943,1008,1008
23,24,165,165
1026,988,1199,1199
905,357,1055,1055
170,897,898,898
964,976,1252,1252
615,896,1236,1236
555,984,993,993
1001,883,1275,1275
118,171,934,934
1005,1056,1277,1277
954,188,955,955
988,309,1025,1025
1148,714,1286,1286
746,733,1290,1290
138,194,195,195
568,999,1132,1132
729,995,1236,1236
358,361,1055,1055
207,1097,1287,1287
770,1122,1272,1272
984,729,993,993
168,909,912,912
568,998,999,999
995,984,1027,1027
1012,1188,1213,1213
912,909,913,913
695,1085,1153,1153
139,888,889,889
1008,944,1009,1009
167,123,937,937
1229,793,1241,1241
86,87,942,942
962,789,1172,1172
962,527,1225,1225
959,527,1196,1196
1209,812,1304,1304
1014,707,1089,1089
527,481,1196,1196
131,950,953,953
162,947,948,948
1000,998,1163,1163
131,132,950,950
170,86,942,942
990,989,1120,1120
260,555,1219,1219
940,786,1137,1137
718,971,1217,1217
727,579,1290,1290
161,100,946,946
162,133,947,947
567,1088,1256,1256
705,755,1030,1030
1080,695,1153,1153
169,922,923,923
1133,794,1224,1224
361,786,1151,1151
56,168,912,912
309,988,1026,1026
1055,361,1151,1151
294,936,1213,1213
896,688,1236,1236
947,188,954,954
998,568,1163,1163
460,407,1023,1023
533,395,985,985
141,916,961,961
281,1221,1297,1297
124,125,938,938
627,628,1001,1001
171,933,934,934
868,764,974,974
908,907,911,911
397,1168,1228,1228
447,1229,1241,1241
786,1123,1151,1151
943,582,1030,1030
1154,718,1217,1217
194,193,876,876
937,124,938,938
1014,1131,1153,1153
964,721,976,976
454,962,1172,1172
538,533,985,985
304,307,967,967
1013,1014,1089,1089
709,958,1063,1063
362,364,1137,1137
414,286,1162,1162
986,414,1162,1162
555,993,1219,1219
334,379,1027,1027
145,93,965,965
146,126,966,966
948,947,954,954
738,967,968,968
1188,294,1213,1213
57,912,914,914
936,294,1203,1203
395,980,985,985
172,95,972,972
173,128,973,973
764,677,974,974
967,307,968,968
987,988,1025,1025
395,386,980,980
833,763,862,862
101,187,946,946
134,188,947,947
456,527,962,962
476,404,982,982
958,420,1063,1063
646,800,978,978
755,943,1030,1030
901,906,945,945
1245,977,1260,1260
1231,291,1232,1232
526,584,1083,1083
628,775,1001,1001
583,756,757,757
540,526,1083,1083
101,102,187,187
134,135,188,188
765,939,1023,1023
757,756,831,831
660,765,1023,1023
302,304,967,967
995,1135,1236,1236
888,887,890,890
555,983,984,984
780,1024,1278,1278
765,764,848,848
738,968,1253,1253
757,831,858,858
434,1005,1277,1277
464,717,987,987
379,412,1027,1027
982,705,1030,1030
660,677,764,764
546,720,1288,1288
306,305,1025,1025
428,464,987,987
555,289,983,983
729,984,995,995
979,788,1074,1074
569,1133,1224,1224
1156,977,1245,1245
707,1014,1153,1153
734,989,990,990
786,362,1137,1137
404,403,982,982
548,646,978,978
660,764,765,765
734,543,989,989
162,948,949,949
991,742,1002,1002
719,627,1001,1001
787,547,992,992
677,768,974,974
1050,1049,1189,1189
456,481,527,527
742,654,1002,1002
898,897,899,899
848,764,868,868
570,698,1003,1003
454,456,962,962
979,1074,1090,1090
309,306,1025,1025
313,310,1026,1026
987,717,988,988
407,498,1023,1023
730,1003,1004,1004
132,162,950,950
996,645,997,997
99,100,161,161
132,133,162,162
195,194,196,196
668,598,1042,1042
428,463,464,464
1074,421,1090,1090
974,768,975,975
1168,796,1228,1228
951,949,952,952
983,334,1027,1027
94,172,965,965
127,173,966,966
989,730,1120,1120
1017,1021,1022,1022
885,860,886,886
498,658,660,660
1007,582,1008,1008
511,510,599,599
761,585,763,763
231,1020,1065,1065
489,339,1011,1011
386,393,980,980
393,407,460,460
310,309,1026,1026
1076,160,1313,1313
550,548,978,978
1003,698,1004,1004
96,153,972,972
129,154,973,973
30,155,1021,1021
1021,155,1022,1022
648,806,1182,1182
548,547,646,646
1135,615,1236,1236
464,510,511,511
753,841,1006,1006
382,1000,1163,1163
547,475,992,992
583,597,756,756
231,229,1020,1020
426,428,987,987
980,460,981,981
477,582,1007,1007
546,545,720,720
446,645,996,996
765,848,849,849
1013,359,1014,1014
364,367,1137,1137
793,1169,1241,1241
463,429,1170,1170
490,570,1003,1003
723,1050,1189,1189
464,463,510,510
393,460,980,980
92,93,145,145
125,126,146,146
783,719,1275,1275
284,286,414,414
503,459,1031,1031
318,709,1063,1063
302,303,304,304
382,384,1000,1000
668,1042,1043,1043
671,508,1035,1035
375,386,395,395
476,982,1030,1030
1269,434,1277,1277
761,763,833,833
147,27,1015,1015
483,545,546,546
94,95,172,172
127,128,173,173
500,547,548,548
1092,940,1137,1137
859,858,860,860
457,451,1012,1012
304,303,305,305
1016,1018,1019,1019
726,551,812,812
1259,899,1261,1261
305,426,1025,1025
370,374,375,375
483,406,545,545
602,753,1006,1006
660,658,677,677
301,302,415,415
96,97,153,153
129,130,154,154
301,293,302,302
360,359,1013,1013
996,998,1000,1000
511,599,600,600
100,101,946,946
133,134,947,947
451,449,1012,1012
665,1039,1041,1041
1039,665,1067,1067
288,292,293,293
123,124,937,937
532,395,533,533
992,1012,1213,1213
304,305,306,306
288,293,301,301
600,599,601,601
498,660,1023,1023
339,337,1011,1011
397,268,1073,1073
289,297,983,983
1005,698,1056,1056
286,287,288,288
755,754,832,832
646,787,799,799
1015,175,1016,1016
992,457,1012,1012
446,467,645,645
705,754,755,755
1002,654,1078,1078
480,702,705,705
534,533,535,535
500,475,547,547
237,234,1065,1065
646,799,800,800
879,860,885,885
980,981,985,985
312,315,1049,1049
705,702,754,754
297,332,334,334
1016,1017,1018,1018
363,360,1013,1013
755,832,857,857
706,415,738,738
773,1052,1053,1053
