x,y,z
0.035,0.01775,-0.17
0.035,0.01775,-0.164333
0.035,0.0142,-0.164333
0.035,0.0142,-0.17
0.035,0.0142,-0.17
0.035,0.0142,-0.164333
0.035,0.01065,-0.164333
0.035,0.01065,-0.17
0.035,0.01065,-0.17
0.035,0.01065,-0.164333
0.035,0.0071,-0.164333
0.035,0.0071,-0.17
0.035,0.0071,-0.17
0.035,0.0071,-0.164333
0.035,0.00355,-0.164333
0.035,0.00355,-0.17
0.035,0.00355,-0.17
0.035,0.00355,-0.164333
0.035,0.0,-0.164333
0.035,0.0,-0.17
0.035,0.0,-0.17
0.035,0.0,-0.164333
0.035,-0.00355,-0.164333
0.035,-0.00355,-0.17
0.035,-0.00355,-0.17
0.035,-0.00355,-0.164333
0.035,-0.0071,-0.164333
0.035,-0.0071,-0.17
0.035,-0.0071,-0.17
0.035,-0.0071,-0.164333
0.035,-0.01065,-0.164333
0.035,-0.01065,-0.17
0.035,-0.01065,-0.17
0.035,-0.01065,-0.164333
0.035,-0.0142,-0.164333
0.035,-0.0142,-0.17
0.035,-0.0142,-0.17
0.035,-0.0142,-0.164333
0.035,-0.01775,-0.164333
0.035,-0.01775,-0.17
0.035,0.01775,-0.164333
0.035,0.01775,-0.158667
0.035,0.0142,-0.158667
0.035,0.0142,-0.164333
0.035,0.0142,-0.164333
0.035,0.0142,-0.158667
0.035,0.01065,-0.158667
0.035,0.01065,-0.164333
0.035,0.01065,-0.164333
0.035,0.01065,-0.158667
0.035,0.0071,-0.158667
0.035,0.0071,-0.164333
0.035,0.0071,-0.164333
0.035,0.0071,-0.158667
0.035,0.00355,-0.158667
0.035,0.00355,-0.164333
0.035,0.00355,-0.164333
0.035,0.00355,-0.158667
0.035,0.0,-0.158667
0.035,0.0,-0.164333
0.035,0.0,-0.164333
0.035,0.0,-0.158667
0.035,-0.00355,-0.158667
0.035,-0.00355,-0.164333
0.035,-0.00355,-0.164333
0.035,-0.00355,-0.158667
0.035,-0.0071,-0.158667
0.035,-0.0071,-0.164333
0.035,-0.0071,-0.164333
0.035,-0.0071,-0.158667
0.035,-0.01065,-0.158667
0.035,-0.01065,-0.164333
0.035,-0.01065,-0.164333
0.035,-0.01065,-0.158667
0.035,-0.0142,-0.158667
0.035,-0.0142,-0.164333
0.035,-0.0142,-0.164333
0.035,-0.0142,-0.158667
0.035,-0.01775,-0.158667
0.035,-0.01775,-0.164333
0.035,0.01775,-0.158667
0.035,0.01775,-0.153
0.035,0.0142,-0.153
0.035,0.0142,-0.158667
0.035,0.0142,-0.158667
0.035,0.0142,-0.153
0.035,0.01065,-0.153
0.035,0.01065,-0.158667
0.035,0.01065,-0.158667
0.035,0.01065,-0.153
0.035,0.0071,-0.153
0.035,0.0071,-0.158667
0.035,0.0071,-0.158667
0.035,0.0071,-0.153
0.035,0.00355,-0.153
0.035,0.00355,-0.158667
0.035,0.00355,-0.158667
0.035,0.00355,-0.153
0.035,0.0,-0.153
0.035,0.0,-0.158667
0.035,0.0,-0.158667
0.035,0.0,-0.153
0.035,-0.00355,-0.153
0.035,-0.00355,-0.158667
0.035,-0.00355,-0.158667
0.035,-0.00355,-0.153
0.035,-0.0071,-0.153
0.035,-0.0071,-0.158667
0.035,-0.0071,-0.158667
0.035,-0.0071,-0.153
0.035,-0.01065,-0.153
0.035,-0.01065,-0.158667
0.035,-0.01065,-0.158667
0.035,-0.01065,-0.153
0.035,-0.0142,-0.153
0.035,-0.0142,-0.158667
0.035,-0.0142,-0.158667
0.035,-0.0142,-0.153
0.035,-0.01775,-0.153
0.035,-0.01775,-0.158667
0.035,0.01775,-0.153
0.035,0.01775,-0.147333
0.035,0.0142,-0.147333
0.035,0.0142,-0.153
0.035,0.0142,-0.153
0.035,0.0142,-0.147333
0.035,0.01065,-0.147333
0.035,0.01065,-0.153
0.035,0.01065,-0.153
0.035,0.01065,-0.147333
0.035,0.0071,-0.147333
0.035,0.0071,-0.153
0.035,0.0071,-0.153
0.035,0.0071,-0.147333
0.035,0.00355,-0.147333
0.035,0.00355,-0.153
0.035,0.00355,-0.153
0.035,0.00355,-0.147333
0.035,0.0,-0.147333
0.035,0.0,-0.153
0.035,0.0,-0.153
0.035,0.0,-0.147333
0.035,-0.00355,-0.147333
0.035,-0.00355,-0.153
0.035,-0.00355,-0.153
0.035,-0.00355,-0.147333
0.035,-0.0071,-0.147333
0.035,-0.0071,-0.153
0.035,-0.0071,-0.153
0.035,-0.0071,-0.147333
0.035,-0.01065,-0.147333
0.035,-0.01065,-0.153
