f,s,t,fou
1,8,56,25
25,56,17,3
8,9,57,56
56,57,18,17
9,10,58,57
57,58,19,18
10,11,59,58
58,59,20,19
11,12,60,59
59,60,21,20
12,13,61,60
60,61,22,21
13,14,62,61
61,62,23,22
14,15,63,62
62,63,24,23
15,0,16,63
63,16,2,24
5,43,64,26
43,7,35,64
26,64,65,27
64,35,36,65
27,65,66,28
65,36,37,66
28,66,67,29
66,37,38,67
29,67,68,30
67,38,39,68
30,68,69,31
68,39,40,69
31,69,70,32
69,40,41,70
32,70,71,33
70,41,42,71
33,71,34,4
71,42,6,34
1,44,72,8
8,72,73,9
9,73,74,10
10,74,75,11
11,75,76,12
12,76,77,13
13,77,78,14
14,78,79,15
15,79,47,0
44,45,80,72
72,80,81,73
73,81,82,74
74,82,83,75
75,83,84,76
76,84,85,77
77,85,86,78
78,86,87,79
79,87,48,47
45,46,88,80
80,88,89,81
81,89,90,82
82,90,91,83
83,91,92,84
84,92,93,85
85,93,94,86
86,94,95,87
87,95,49,48
46,5,26,88
88,26,27,89
89,27,28,90
90,28,29,91
91,29,30,92
92,30,31,93
93,31,32,94
94,32,33,95
95,33,4,49
3,17,96,50
17,18,97,96
18,19,98,97
19,20,99,98
20,21,100,99
21,22,101,100
22,23,102,101
23,24,103,102
24,2,53,103
50,96,104,51
96,97,105,104
97,98,106,105
98,99,107,106
99,100,108,107
100,101,109,108
101,102,110,109
102,103,111,110
103,53,54,111
51,104,112,52
104,105,113,112
105,106,114,113
106,107,115,114
107,108,116,115
108,109,117,116
109,110,118,117
110,111,119,118
111,54,55,119
52,112,35,7
112,113,36,35
113,114,37,36
114,115,38,37
115,116,39,38
116,117,40,39
117,118,41,40
118,119,42,41
119,55,6,42
1,25,120,44
44,120,121,45
45,121,122,46
46,122,43,5
25,3,50,120
120,50,51,121
121,51,52,122
122,52,7,43
48,124,54,123
48,123,125,47
54,124,126,55
47,125,16,0
34,6,55,126
48,49,127,124
54,53,128,123
49,4,34,127
16,128,53,2
123,128,16,125
124,127,34,126
