f,s,t,fou
2,124,996,37
124,125,997,996
125,126,998,997
126,127,999,998
127,128,1000,999
128,129,1001,1000
129,130,1002,1001
130,131,1003,1002
131,132,1004,1003
132,133,1005,1004
133,134,1006,1005
134,135,1007,1006
135,136,1008,1007
136,137,1009,1008
137,138,1010,1009
138,139,1011,1010
139,140,1012,1011
140,141,1013,1012
141,142,1014,1013
142,143,1015,1014
143,144,1016,1015
144,145,1017,1016
145,146,1018,1017
146,147,1019,1018
147,148,1020,1019
148,149,1021,1020
149,150,1022,1021
150,151,1023,1022
151,152,1024,1023
152,153,1025,1024
153,154,1026,1025
154,155,1027,1026
155,156,1028,1027
156,157,1029,1028
157,158,1030,1029
158,159,1031,1030
159,160,1032,1031
160,161,1033,1032
161,162,1034,1033
162,163,1035,1034
163,164,1036,1035
164,165,1037,1036
165,166,1038,1037
166,167,1039,1038
167,168,1040,1039
168,169,1041,1040
169,170,1042,1041
170,171,1043,1042
171,172,1044,1043
172,173,1045,1044
173,174,1046,1045
174,175,1047,1046
175,176,1048,1047
176,177,1049,1048
177,178,1050,1049
178,179,1051,1050
179,180,1052,1051
180,181,1053,1052
181,182,1054,1053
182,183,1055,1054
183,184,1056,1055
184,185,1057,1056
185,186,1058,1057
186,187,1059,1058
187,188,1060,1059
188,189,1061,1060
189,190,1062,1061
190,191,1063,1062
191,192,1064,1063
192,193,1065,1064
193,194,1066,1065
194,195,1067,1066
195,196,1068,1067
196,197,1069,1068
197,198,1070,1069
198,199,1071,1070
199,200,1072,1071
200,201,1073,1072
201,202,1074,1073
202,203,1075,1074
203,204,1076,1075
204,205,1077,1076
205,206,1078,1077
206,207,1079,1078
207,208,1080,1079
208,209,1081,1080
209,210,1082,1081
210,211,1083,1082
211,212,1084,1083
212,213,1085,1084
213,214,1086,1085
214,215,1087,1086
215,216,1088,1087
216,217,1089,1088
217,218,1090,1089
218,219,1091,1090
219,220,1092,1091
220,221,1093,1092
221,222,1094,1093
222,223,1095,1094
223,224,1096,1095
224,225,1097,1096
225,226,1098,1097
226,227,1099,1098
227,228,1100,1099
228,229,1101,1100
229,230,1102,1101
230,231,1103,1102
231,232,1104,1103
232,233,1105,1104
233,234,1106,1105
234,235,1107,1106
235,236,1108,1107
236,237,1109,1108
237,238,1110,1109
238,239,1111,1110
239,240,1112,1111
240,241,1113,1112
241,242,1114,1113
242,243,1115,1114
243,244,1116,1115
244,245,1117,1116
245,246,1118,1117
246,247,1119,1118
247,248,1120,1119
248,249,1121,1120
249,250,1122,1121
250,251,1123,1122
251,252,1124,1123
252,253,1125,1124
253,254,1126,1125
254,255,1127,1126
255,256,1128,1127
256,257,1129,1128
257,258,1130,1129
258,259,1131,1130
259,260,1132,1131
260,261,1133,1132
261,262,1134,1133
262,263,1135,1134
263,264,1136,1135
264,265,1137,1136
265,266,1138,1137
266,267,1139,1138
267,268,1140,1139
268,269,1141,1140
269,270,1142,1141
270,271,1143,1142
271,272,1144,1143
272,273,1145,1144
273,274,1146,1145
274,275,1147,1146
275,276,1148,1147
276,277,1149,1148
277,278,1150,1149
278,279,1151,1150
279,280,1152,1151
280,281,1153,1152
281,282,1154,1153
282,283,1155,1154
283,284,1156,1155
284,285,1157,1156
285,286,1158,1157
286,287,1159,1158
287,288,1160,1159
288,289,1161,1160
289,290,1162,1161
290,291,1163,1162
291,292,1164,1163
292,293,1165,1164
293,294,1166,1165
294,295,1167,1166
295,296,1168,1167
296,297,1169,1168
297,298,1170,1169
298,299,1171,1170
299,300,1172,1171
300,301,1173,1172
301,302,1174,1173
302,303,1175,1174
303,304,1176,1175
304,305,1177,1176
305,306,1178,1177
306,307,1179,1178
307,308,1180,1179
308,309,1181,1180
309,310,1182,1181
310,311,1183,1182
311,312,1184,1183
312,313,1185,1184
313,314,1186,1185
314,315,1187,1186
315,316,1188,1187
316,317,1189,1188
317,318,1190,1189
318,319,1191,1190
319,320,1192,1191
320,321,1193,1192
321,322,1194,1193
322,323,1195,1194
323,324,1196,1195
324,325,1197,1196
325,326,1198,1197
326,327,1199,1198
327,328,1200,1199
328,329,1201,1200
329,330,1202,1201
330,331,1203,1202
331,332,1204,1203
332,333,1205,1204
333,334,1206,1205
334,335,1207,1206
335,336,1208,1207
336,337,1209,1208
337,338,1210,1209
338,339,1211,1210
339,340,1212,1211
340,341,1213,1212
341,6,94,1213
37,996,1214,38
996,997,1215,1214
997,998,1216,1215
998,999,1217,1216
999,1000,1218,1217
1000,1001,1219,1218
1001,1002,1220,1219
1002,1003,1221,1220
1003,1004,1222,1221
1004,1005,1223,1222
1005,1006,1224,1223
1006,1007,1225,1224
1007,1008,1226,1225
1008,1009,1227,1226
1009,1010,1228,1227
1010,1011,1229,1228
1011,1012,1230,1229
1012,1013,1231,1230
1013,1014,1232,1231
1014,1015,1233,1232
1015,1016,1234,1233
1016,1017,1235,1234
1017,1018,1236,1235
1018,1019,1237,1236
1019,1020,1238,1237
1020,1021,1239,1238
1021,1022,1240,1239
1022,1023,1241,1240
1023,1024,1242,1241
1024,1025,1243,1242
1025,1026,1244,1243
1026,1027,1245,1244
1027,1028,1246,1245
1028,1029,1247,1246
1029,1030,1248,1247
1030,1031,1249,1248
1031,1032,1250,1249
1032,1033,1251,1250
1033,1034,1252,1251
1034,1035,1253,1252
1035,1036,1254,1253
1036,1037,1255,1254
1037,1038,1256,1255
1038,1039,1257,1256
1039,1040,1258,1257
1040,1041,1259,1258
1041,1042,1260,1259
1042,1043,1261,1260
1043,1044,1262,1261
1044,1045,1263,1262
1045,1046,1264,1263
1046,1047,1265,1264
1047,1048,1266,1265
1048,1049,1267,1266
1049,1050,1268,1267
1050,1051,1269,1268
1051,1052,1270,1269
1052,1053,1271,1270
1053,1054,1272,1271
1054,1055,1273,1272
1055,1056,1274,1273
1056,1057,1275,1274
1057,1058,1276,1275
1058,1059,1277,1276
1059,1060,1278,1277
1060,1061,1279,1278
1061,1062,1280,1279
1062,1063,1281,1280
1063,1064,1282,1281
1064,1065,1283,1282
1065,1066,1284,1283
1066,1067,1285,1284
1067,1068,1286,1285
1068,1069,1287,1286
1069,1070,1288,1287
1070,1071,1289,1288
1071,1072,1290,1289
1072,1073,1291,1290
1073,1074,1292,1291
1074,1075,1293,1292
1075,1076,1294,1293
1076,1077,1295,1294
1077,1078,1296,1295
1078,1079,1297,1296
1079,1080,1298,1297
1080,1081,1299,1298
1081,1082,1300,1299
1082,1083,1301,1300
1083,1084,1302,1301
1084,1085,1303,1302
1085,1086,1304,1303
1086,1087,1305,1304
1087,1088,1306,1305
1088,1089,1307,1306
1089,1090,1308,1307
1090,1091,1309,1308
1091,1092,1310,1309
1092,1093,1311,1310
1093,1094,1312,1311
1094,1095,1313,1312
1095,1096,1314,1313
1096,1097,1315,1314
1097,1098,1316,1315
1098,1099,1317,1316
1099,1100,1318,1317
1100,1101,1319,1318
1101,1102,1320,1319
1102,1103,1321,1320
1103,1104,1322,1321
1104,1105,1323,1322
1105,1106,1324,1323
1106,1107,1325,1324
1107,1108,1326,1325
1108,1109,1327,1326
1109,1110,1328,1327
1110,1111,1329,1328
1111,1112,1330,1329
1112,1113,1331,1330
1113,1114,1332,1331
1114,1115,1333,1332
1115,1116,1334,1333
1116,1117,1335,1334
1117,1118,1336,1335
