f,s,t,fou
2,244,572,67
244,245,573,572
245,246,574,573
246,247,575,574
247,248,576,575
248,249,577,576
249,250,578,577
250,251,579,578
251,252,580,579
252,253,581,580
253,254,582,581
254,255,583,582
255,256,584,583
256,257,585,584
257,258,586,585
258,259,587,586
259,260,588,587
260,261,589,588
261,262,590,589
262,263,591,590
263,264,592,591
264,265,593,592
265,266,594,593
266,267,595,594
267,268,596,595
268,269,597,596
269,270,598,597
270,271,599,598
271,272,600,599
272,273,601,600
273,274,602,601
274,275,603,602
275,276,604,603
276,277,605,604
277,278,606,605
278,279,607,606
279,280,608,607
280,281,609,608
281,282,610,609
282,283,611,610
283,284,612,611
284,285,613,612
285,286,614,613
286,287,615,614
287,288,616,615
288,289,617,616
289,290,618,617
290,291,619,618
291,292,620,619
292,293,621,620
293,294,622,621
294,295,623,622
295,296,624,623
296,297,625,624
297,298,626,625
298,299,627,626
299,300,628,627
300,301,629,628
301,302,630,629
302,303,631,630
303,304,632,631
304,305,633,632
305,306,634,633
306,307,635,634
307,308,636,635
308,309,637,636
309,310,638,637
310,311,639,638
311,312,640,639
312,313,641,640
313,314,642,641
314,315,643,642
315,316,644,643
316,317,645,644
317,318,646,645
318,319,647,646
319,320,648,647
320,321,649,648
321,322,650,649
322,323,651,650
323,324,652,651
324,325,653,652
325,6,184,653
67,572,654,68
572,573,655,654
573,574,656,655
574,575,657,656
575,576,658,657
576,577,659,658
577,578,660,659
578,579,661,660
579,580,662,661
580,581,663,662
581,582,664,663
582,583,665,664
583,584,666,665
584,585,667,666
585,586,668,667
586,587,669,668
587,588,670,669
588,589,671,670
589,590,672,671
590,591,673,672
591,592,674,673
592,593,675,674
593,594,676,675
594,595,677,676
595,596,678,677
596,597,679,678
597,598,680,679
598,599,681,680
599,600,682,681
600,601,683,682
601,602,684,683
602,603,685,684
603,604,686,685
604,605,687,686
605,606,688,687
606,607,689,688
607,608,690,689
608,609,691,690
609,610,692,691
610,611,693,692
611,612,694,693
612,613,695,694
613,614,696,695
614,615,697,696
615,616,698,697
616,617,699,698
617,618,700,699
618,619,701,700
619,620,702,701
620,621,703,702
621,622,704,703
622,623,705,704
623,624,706,705
624,625,707,706
625,626,708,707
626,627,709,708
627,628,710,709
628,629,711,710
629,630,712,711
630,631,713,712
631,632,714,713
632,633,715,714
633,634,716,715
634,635,717,716
635,636,718,717
636,637,719,718
637,638,720,719
638,639,721,720
639,640,722,721
640,641,723,722
641,642,724,723
642,643,725,724
643,644,726,725
644,645,727,726
645,646,728,727
646,647,729,728
647,648,730,729
648,649,731,730
649,650,732,731
650,651,733,732
651,652,734,733
652,653,735,734
653,184,183,735
68,654,736,69
654,655,737,736
655,656,738,737
656,657,739,738
657,658,740,739
658,659,741,740
659,660,742,741
660,661,743,742
661,662,744,743
662,663,745,744
663,664,746,745
664,665,747,746
665,666,748,747
666,667,749,748
667,668,750,749
668,669,751,750
669,670,752,751
670,671,753,752
671,672,754,753
672,673,755,754
673,674,756,755
674,675,757,756
675,676,758,757
676,677,759,758
677,678,760,759
678,679,761,760
679,680,762,761
680,681,763,762
681,682,764,763
682,683,765,764
683,684,766,765
684,685,767,766
685,686,768,767
686,687,769,768
687,688,770,769
688,689,771,770
689,690,772,771
690,691,773,772
691,692,774,773
692,693,775,774
693,694,776,775
694,695,777,776
695,696,778,777
696,697,779,778
697,698,780,779
698,699,781,780
699,700,782,781
700,701,783,782
701,702,784,783
702,703,785,784
703,704,786,785
704,705,787,786
705,706,788,787
706,707,789,788
707,708,790,789
708,709,791,790
709,710,792,791
710,711,793,792
711,712,794,793
712,713,795,794
713,714,796,795
714,715,797,796
715,716,798,797
716,717,799,798
717,718,800,799
718,719,801,800
719,720,802,801
720,721,803,802
721,722,804,803
722,723,805,804
723,724,806,805
724,725,807,806
725,726,808,807
726,727,809,808
727,728,810,809
728,729,811,810
729,730,812,811
730,731,813,812
731,732,814,813
732,733,815,814
733,734,816,815
734,735,817,816
735,183,182,817
69,736,818,70
736,737,819,818
737,738,820,819
738,739,821,820
739,740,822,821
740,741,823,822
741,742,824,823
742,743,825,824
743,744,826,825
744,745,827,826
745,746,828,827
746,747,829,828
747,748,830,829
748,749,831,830
749,750,832,831
750,751,833,832
751,752,834,833
752,753,835,834
753,754,836,835
754,755,837,836
755,756,838,837
756,757,839,838
757,758,840,839
758,759,841,840
759,760,842,841
760,761,843,842
761,762,844,843
762,763,845,844
763,764,846,845
764,765,847,846
765,766,848,847
766,767,849,848
767,768,850,849
768,769,851,850
769,770,852,851
770,771,853,852
771,772,854,853
772,773,855,854
773,774,856,855
774,775,857,856
775,776,858,857
776,777,859,858
777,778,860,859
778,779,861,860
779,780,862,861
780,781,863,862
781,782,864,863
782,783,865,864
783,784,866,865
784,785,867,866
785,786,868,867
786,787,869,868
787,788,870,869
788,789,871,870
789,790,872,871
790,791,873,872
791,792,874,873
792,793,875,874
793,794,876,875
794,795,877,876
795,796,878,877
796,797,879,878
797,798,880,879
798,799,881,880
799,800,882,881
800,801,883,882
801,802,884,883
802,803,885,884
803,804,886,885
804,805,887,886
805,806,888,887
806,807,889,888
807,808,890,889
808,809,891,890
809,810,892,891
810,811,893,892
811,812,894,893
812,813,895,894
813,814,896,895
814,815,897,896
815,816,898,897
816,817,899,898
817,182,181,899
70,818,900,71
818,819,901,900
819,820,902,901
820,821,903,902
821,822,904,903
822,823,905,904
823,824,906,905
824,825,907,906
825,826,908,907
826,827,909,908
827,828,910,909
828,829,911,910
829,830,912,911
830,831,913,912
831,832,914,913
832,833,915,914
833,834,916,915
834,835,917,916
835,836,918,917
836,837,919,918
837,838,920,919
838,839,921,920
839,840,922,921
840,841,923,922
841,842,924,923
842,843,925,924
843,844,926,925
844,845,927,926
845,846,928,927
846,847,929,928
847,848,930,929
848,849,931,930
849,850,932,931
850,851,933,932
851,852,934,933
852,853,935,934
853,854,936,935
854,855,937,936
855,856,938,937
856,857,939,938
857,858,940,939
858,859,941,940
859,860,942,941
860,861,943,942
861,862,944,943
862,863,945,944
863,864,946,945
864,865,947,946
865,866,948,947
866,867,949,948
867,868,950,949
868,869,951,950
869,870,952,951
870,871,953,952
871,872,954,953
872,873,955,954
873,874,956,955
874,875,957,956
875,876,958,957
876,877,959,958
877,878,960,959
878,879,961,960
879,880,962,961
880,881,963,962
881,882,964,963
882,883,965,964
883,884,966,965
884,885,967,966
885,886,968,967
886,887,969,968
887,888,970,969
888,889,971,970
889,890,972,971
890,891,973,972
891,892,974,973
892,893,975,974
893,894,976,975
894,895,977,976
895,896,978,977
896,897,979,978
897,898,980,979
898,899,981,980
899,181,180,981
71,900,982,72
900,901,983,982
901,902,984,983
902,903,985,984
903,904,986,985
904,905,987,986
905,906,988,987
906,907,989,988
907,908,990,989
908,909,991,990
909,910,992,991
910,911,993,992
911,912,994,993
912,913,995,994
913,914,996,995
914,915,997,996
915,916,998,997
916,917,999,998
917,918,1000,999
918,919,1001,1000
919,920,1002,1001
920,921,1003,1002
921,922,1004,1003
922,923,1005,1004
923,924,1006,1005
924,925,1007,1006
925,926,1008,1007
926,927,1009,1008
927,928,1010,1009
928,929,1011,1010
929,930,1012,1011
930,931,1013,1012
931,932,1014,1013
932,933,1015,1014
933,934,1016,1015
934,935,1017,1016
935,936,1018,1017
936,937,1019,1018
937,938,1020,1019
938,939,1021,1020
939,940,1022,1021
940,941,1023,1022
941,942,1024,1023
942,943,1025,1024
943,944,1026,1025
944,945,1027,1026
945,946,1028,1027
946,947,1029,1028
947,948,1030,1029
948,949,1031,1030
949,950,1032,1031
950,951,1033,1032
951,952,1034,1033
952,953,1035,1034
953,954,1036,1035
954,955,1037,1036
955,956,1038,1037
956,957,1039,1038
957,958,1040,1039
958,959,1041,1040
959,960,1042,1041
960,961,1043,1042
961,962,1044,1043
962,963,1045,1044
963,964,1046,1045
964,965,1047,1046
965,966,1048,1047
966,967,1049,1048
967,968,1050,1049
968,969,1051,1050
969,970,1052,1051
970,971,1053,1052
971,972,1054,1053
972,973,1055,1054
973,974,1056,1055
974,975,1057,1056
975,976,1058,1057
976,977,1059,1058
977,978,1060,1059
978,979,1061,1060
979,980,1062,1061
980,981,1063,1062
981,180,179,1063
72,982,1064,73
982,983,1065,1064
983,984,1066,1065
984,985,1067,1066
985,986,1068,1067
986,987,1069,1068
987,988,1070,1069
988,989,1071,1070
989,990,1072,1071
990,991,1073,1072
991,992,1074,1073
992,993,1075,1074
993,994,1076,1075
994,995,1077,1076
995,996,1078,1077
996,997,1079,1078
997,998,1080,1079
998,999,1081,1080
999,1000,1082,1081
1000,1001,1083,1082
1001,1002,1084,1083
1002,1003,1085,1084
1003,1004,1086,1085
1004,1005,1087,1086
1005,1006,1088,1087
1006,1007,1089,1088
1007,1008,1090,1089
1008,1009,1091,1090
1009,1010,1092,1091
1010,1011,1093,1092
1011,1012,1094,1093
1012,1013,1095,1094
1013,1014,1096,1095
1014,1015,1097,1096
1015,1016,1098,1097
1016,1017,1099,1098
