f,s,t,fou
2,124,644,37
124,125,645,644
125,126,646,645
126,127,647,646
127,128,648,647
128,129,649,648
129,130,650,649
130,131,651,650
131,132,652,651
132,133,653,652
133,134,654,653
134,135,655,654
135,136,656,655
136,137,657,656
137,138,658,657
138,139,659,658
139,140,660,659
140,141,661,660
141,142,662,661
142,143,663,662
143,144,664,663
144,145,665,664
145,146,666,665
146,147,667,666
147,148,668,667
148,149,669,668
149,150,670,669
150,151,671,670
151,152,672,671
152,153,673,672
153,154,674,673
154,155,675,674
155,156,676,675
156,157,677,676
157,158,678,677
158,159,679,678
159,160,680,679
160,161,681,680
161,162,682,681
162,163,683,682
163,164,684,683
164,165,685,684
165,166,686,685
166,167,687,686
167,168,688,687
168,169,689,688
169,170,690,689
170,171,691,690
171,172,692,691
172,173,693,692
173,174,694,693
174,175,695,694
175,176,696,695
176,177,697,696
177,178,698,697
178,179,699,698
179,180,700,699
180,181,701,700
181,182,702,701
182,183,703,702
183,184,704,703
184,185,705,704
185,186,706,705
186,187,707,706
187,188,708,707
188,189,709,708
189,190,710,709
190,191,711,710
191,192,712,711
192,193,713,712
193,194,714,713
194,195,715,714
195,196,716,715
196,197,717,716
197,198,718,717
198,199,719,718
199,200,720,719
200,201,721,720
201,202,722,721
202,203,723,722
203,204,724,723
204,205,725,724
205,206,726,725
206,207,727,726
207,208,728,727
208,209,729,728
209,210,730,729
210,211,731,730
211,212,732,731
212,213,733,732
213,214,734,733
214,215,735,734
215,216,736,735
216,217,737,736
217,218,738,737
218,219,739,738
219,220,740,739
220,221,741,740
221,222,742,741
222,223,743,742
223,224,744,743
224,225,745,744
225,226,746,745
226,227,747,746
227,228,748,747
228,229,749,748
229,230,750,749
230,231,751,750
231,232,752,751
232,233,753,752
233,234,754,753
234,235,755,754
235,236,756,755
236,237,757,756
237,238,758,757
238,239,759,758
239,240,760,759
240,241,761,760
241,242,762,761
242,243,763,762
243,244,764,763
244,245,765,764
245,246,766,765
246,247,767,766
247,248,768,767
248,249,769,768
249,250,770,769
250,251,771,770
251,252,772,771
252,253,773,772
253,6,94,773
37,644,774,38
644,645,775,774
645,646,776,775
646,647,777,776
647,648,778,777
648,649,779,778
649,650,780,779
650,651,781,780
651,652,782,781
652,653,783,782
653,654,784,783
654,655,785,784
655,656,786,785
656,657,787,786
657,658,788,787
658,659,789,788
659,660,790,789
660,661,791,790
661,662,792,791
662,663,793,792
663,664,794,793
664,665,795,794
665,666,796,795
666,667,797,796
667,668,798,797
668,669,799,798
669,670,800,799
670,671,801,800
671,672,802,801
672,673,803,802
673,674,804,803
674,675,805,804
675,676,806,805
676,677,807,806
677,678,808,807
678,679,809,808
679,680,810,809
680,681,811,810
681,682,812,811
682,683,813,812
683,684,814,813
684,685,815,814
685,686,816,815
686,687,817,816
687,688,818,817
688,689,819,818
689,690,820,819
690,691,821,820
691,692,822,821
692,693,823,822
693,694,824,823
694,695,825,824
695,696,826,825
696,697,827,826
697,698,828,827
698,699,829,828
699,700,830,829
700,701,831,830
701,702,832,831
702,703,833,832
703,704,834,833
704,705,835,834
705,706,836,835
706,707,837,836
707,708,838,837
708,709,839,838
709,710,840,839
710,711,841,840
711,712,842,841
712,713,843,842
713,714,844,843
714,715,845,844
715,716,846,845
716,717,847,846
717,718,848,847
718,719,849,848
719,720,850,849
720,721,851,850
721,722,852,851
722,723,853,852
723,724,854,853
724,725,855,854
725,726,856,855
726,727,857,856
727,728,858,857
728,729,859,858
729,730,860,859
730,731,861,860
731,732,862,861
732,733,863,862
733,734,864,863
734,735,865,864
735,736,866,865
736,737,867,866
737,738,868,867
738,739,869,868
739,740,870,869
740,741,871,870
741,742,872,871
742,743,873,872
743,744,874,873
744,745,875,874
745,746,876,875
746,747,877,876
747,748,878,877
748,749,879,878
749,750,880,879
750,751,881,880
751,752,882,881
752,753,883,882
753,754,884,883
754,755,885,884
755,756,886,885
756,757,887,886
757,758,888,887
758,759,889,888
759,760,890,889
760,761,891,890
761,762,892,891
762,763,893,892
763,764,894,893
764,765,895,894
765,766,896,895
766,767,897,896
767,768,898,897
768,769,899,898
769,770,900,899
770,771,901,900
771,772,902,901
772,773,903,902
773,94,93,903
38,774,904,39
774,775,905,904
775,776,906,905
776,777,907,906
777,778,908,907
778,779,909,908
779,780,910,909
780,781,911,910
781,782,912,911
782,783,913,912
783,784,914,913
784,785,915,914
785,786,916,915
786,787,917,916
787,788,918,917
788,789,919,918
789,790,920,919
790,791,921,920
791,792,922,921
792,793,923,922
793,794,924,923
794,795,925,924
795,796,926,925
796,797,927,926
797,798,928,927
798,799,929,928
799,800,930,929
800,801,931,930
801,802,932,931
802,803,933,932
803,804,934,933
804,805,935,934
805,806,936,935
806,807,937,936
807,808,938,937
808,809,939,938
809,810,940,939
810,811,941,940
811,812,942,941
812,813,943,942
813,814,944,943
814,815,945,944
815,816,946,945
816,817,947,946
817,818,948,947
818,819,949,948
819,820,950,949
820,821,951,950
821,822,952,951
822,823,953,952
823,824,954,953
824,825,955,954
825,826,956,955
826,827,957,956
827,828,958,957
828,829,959,958
829,830,960,959
830,831,961,960
831,832,962,961
832,833,963,962
833,834,964,963
834,835,965,964
835,836,966,965
836,837,967,966
837,838,968,967
838,839,969,968
839,840,970,969
840,841,971,970
841,842,972,971
842,843,973,972
843,844,974,973
844,845,975,974
845,846,976,975
846,847,977,976
847,848,978,977
848,849,979,978
849,850,980,979
850,851,981,980
851,852,982,981
852,853,983,982
853,854,984,983
854,855,985,984
855,856,986,985
856,857,987,986
857,858,988,987
858,859,989,988
859,860,990,989
860,861,991,990
861,862,992,991
862,863,993,992
863,864,994,993
864,865,995,994
865,866,996,995
866,867,997,996
867,868,998,997
868,869,999,998
869,870,1000,999
870,871,1001,1000
871,872,1002,1001
872,873,1003,1002
873,874,1004,1003
874,875,1005,1004
875,876,1006,1005
876,877,1007,1006
877,878,1008,1007
878,879,1009,1008
879,880,1010,1009
880,881,1011,1010
881,882,1012,1011
882,883,1013,1012
883,884,1014,1013
884,885,1015,1014
885,886,1016,1015
886,887,1017,1016
887,888,1018,1017
888,889,1019,1018
889,890,1020,1019
890,891,1021,1020
891,892,1022,1021
892,893,1023,1022
893,894,1024,1023
894,895,1025,1024
895,896,1026,1025
896,897,1027,1026
897,898,1028,1027
898,899,1029,1028
899,900,1030,1029
900,901,1031,1030
901,902,1032,1031
902,903,1033,1032
903,93,92,1033
39,904,1034,40
904,905,1035,1034
905,906,1036,1035
906,907,1037,1036
907,908,1038,1037
908,909,1039,1038
909,910,1040,1039
910,911,1041,1040
911,912,1042,1041
912,913,1043,1042
913,914,1044,1043
914,915,1045,1044
915,916,1046,1045
916,917,1047,1046
917,918,1048,1047
918,919,1049,1048
919,920,1050,1049
920,921,1051,1050
921,922,1052,1051
922,923,1053,1052
923,924,1054,1053
924,925,1055,1054
925,926,1056,1055
926,927,1057,1056
927,928,1058,1057
928,929,1059,1058
929,930,1060,1059
930,931,1061,1060
931,932,1062,1061
932,933,1063,1062
933,934,1064,1063
934,935,1065,1064
935,936,1066,1065
936,937,1067,1066
937,938,1068,1067
938,939,1069,1068
939,940,1070,1069
940,941,1071,1070
941,942,1072,1071
942,943,1073,1072
943,944,1074,1073
944,945,1075,1074
945,946,1076,1075
946,947,1077,1076
947,948,1078,1077
948,949,1079,1078
949,950,1080,1079
950,951,1081,1080
951,952,1082,1081
952,953,1083,1082
953,954,1084,1083
954,955,1085,1084
955,956,1086,1085
956,957,1087,1086
957,958,1088,1087
958,959,1089,1088
959,960,1090,1089
960,961,1091,1090
961,962,1092,1091
962,963,1093,1092
963,964,1094,1093
964,965,1095,1094
965,966,1096,1095
966,967,1097,1096
967,968,1098,1097
968,969,1099,1098
969,970,1100,1099
970,971,1101,1100
971,972,1102,1101
972,973,1103,1102
973,974,1104,1103
974,975,1105,1104
975,976,1106,1105
976,977,1107,1106
977,978,1108,1107
978,979,1109,1108
979,980,1110,1109
980,981,1111,1110
981,982,1112,1111
982,983,1113,1112
983,984,1114,1113
984,985,1115,1114
985,986,1116,1115
986,987,1117,1116
987,988,1118,1117
988,989,1119,1118
989,990,1120,1119
990,991,1121,1120
991,992,1122,1121
992,993,1123,1122
993,994,1124,1123
994,995,1125,1124
995,996,1126,1125
996,997,1127,1126
997,998,1128,1127
998,999,1129,1128
999,1000,1130,1129
1000,1001,1131,1130
1001,1002,1132,1131
1002,1003,1133,1132
1003,1004,1134,1133
1004,1005,1135,1134
1005,1006,1136,1135
1006,1007,1137,1136
1007,1008,1138,1137
1008,1009,1139,1138
1009,1010,1140,1139
1010,1011,1141,1140
1011,1012,1142,1141
1012,1013,1143,1142
1013,1014,1144,1143
1014,1015,1145,1144
1015,1016,1146,1145
1016,1017,1147,1146
1017,1018,1148,1147
1018,1019,1149,1148
1019,1020,1150,1149
1020,1021,1151,1150
1021,1022,1152,1151
1022,1023,1153,1152
1023,1024,1154,1153
1024,1025,1155,1154
1025,1026,1156,1155
1026,1027,1157,1156
1027,1028,1158,1157
