f,s,t,fou,group
2,124,652,37,PerfectCondCondition
124,125,653,652,PerfectCondCondition
125,126,654,653,PerfectCondCondition
126,127,655,654,PerfectCondCondition
127,128,656,655,PerfectCondCondition
128,129,657,656,PerfectCondCondition
129,130,658,657,PerfectCondCondition
130,131,659,658,PerfectCondCondition
131,132,660,659,PerfectCondCondition
132,133,661,660,PerfectCondCondition
133,134,662,661,PerfectCondCondition
134,135,663,662,PerfectCondCondition
135,136,664,663,PerfectCondCondition
136,137,665,664,PerfectCondCondition
137,138,666,665,PerfectCondCondition
138,139,667,666,PerfectCondCondition
139,140,668,667,PerfectCondCondition
140,141,669,668,PerfectCondCondition
141,142,670,669,PerfectCondCondition
142,143,671,670,PerfectCondCondition
143,144,672,671,PerfectCondCondition
144,145,673,672,PerfectCondCondition
145,146,674,673,PerfectCondCondition
146,147,675,674,PerfectCondCondition
147,148,676,675,PerfectCondCondition
148,149,677,676,PerfectCondCondition
149,150,678,677,PerfectCondCondition
150,151,679,678,PerfectCondCondition
151,152,680,679,PerfectCondCondition
152,153,681,680,PerfectCondCondition
153,154,682,681,PerfectCondCondition
154,155,683,682,PerfectCondCondition
155,156,684,683,PerfectCondCondition
156,157,685,684,PerfectCondCondition
157,158,686,685,PerfectCondCondition
158,159,687,686,PerfectCondCondition
159,160,688,687,PerfectCondCondition
160,161,689,688,PerfectCondCondition
161,162,690,689,PerfectCondCondition
162,163,691,690,PerfectCondCondition
163,164,692,691,PerfectCondCondition
164,165,693,692,PerfectCondCondition
165,166,694,693,PerfectCondCondition
166,167,695,694,PerfectCondCondition
167,168,696,695,PerfectCondCondition
168,169,697,696,PerfectCondCondition
169,170,698,697,PerfectCondCondition
170,171,699,698,PerfectCondCondition
171,172,700,699,PerfectCondCondition
172,173,701,700,PerfectCondCondition
173,174,702,701,PerfectCondCondition
174,175,703,702,PerfectCondCondition
175,176,704,703,PerfectCondCondition
176,177,705,704,PerfectCondCondition
177,178,706,705,PerfectCondCondition
178,179,707,706,PerfectCondCondition
179,180,708,707,PerfectCondCondition
180,181,709,708,PerfectCondCondition
181,182,710,709,PerfectCondCondition
182,183,711,710,PerfectCondCondition
183,184,712,711,PerfectCondCondition
184,185,713,712,PerfectCondCondition
185,186,714,713,PerfectCondCondition
186,187,715,714,PerfectCondCondition
187,188,716,715,PerfectCondCondition
188,189,717,716,PerfectCondCondition
189,190,718,717,PerfectCondCondition
190,191,719,718,PerfectCondCondition
191,192,720,719,PerfectCondCondition
192,193,721,720,PerfectCondCondition
193,194,722,721,PerfectCondCondition
194,195,723,722,PerfectCondCondition
195,196,724,723,PerfectCondCondition
196,197,725,724,PerfectCondCondition
197,198,726,725,PerfectCondCondition
198,199,727,726,PerfectCondCondition
199,200,728,727,PerfectCondCondition
200,201,729,728,PerfectCondCondition
201,202,730,729,PerfectCondCondition
202,203,731,730,PerfectCondCondition
203,204,732,731,PerfectCondCondition
204,205,733,732,PerfectCondCondition
205,206,734,733,PerfectCondCondition
206,207,735,734,PerfectCondCondition
207,208,736,735,PerfectCondCondition
208,209,737,736,PerfectCondCondition
209,210,738,737,PerfectCondCondition
210,211,739,738,PerfectCondCondition
211,212,740,739,PerfectCondCondition
212,213,741,740,PerfectCondCondition
213,214,742,741,PerfectCondCondition
214,215,743,742,PerfectCondCondition
215,216,744,743,PerfectCondCondition
216,217,745,744,PerfectCondCondition
217,218,746,745,PerfectCondCondition
218,219,747,746,PerfectCondCondition
219,220,748,747,PerfectCondCondition
220,221,749,748,PerfectCondCondition
221,222,750,749,PerfectCondCondition
222,223,751,750,PerfectCondCondition
223,224,752,751,PerfectCondCondition
224,225,753,752,PerfectCondCondition
225,226,754,753,PerfectCondCondition
226,227,755,754,PerfectCondCondition
227,228,756,755,PerfectCondCondition
228,229,757,756,PerfectCondCondition
229,230,758,757,PerfectCondCondition
230,231,759,758,PerfectCondCondition
231,232,760,759,PerfectCondCondition
232,233,761,760,PerfectCondCondition
233,234,762,761,PerfectCondCondition
234,235,763,762,PerfectCondCondition
235,236,764,763,PerfectCondCondition
236,237,765,764,PerfectCondCondition
237,238,766,765,PerfectCondCondition
238,239,767,766,PerfectCondCondition
239,240,768,767,PerfectCondCondition
240,241,769,768,PerfectCondCondition
241,242,770,769,PerfectCondCondition
242,243,771,770,PerfectCondCondition
243,244,772,771,PerfectCondCondition
244,245,773,772,PerfectCondCondition
245,246,774,773,PerfectCondCondition
246,247,775,774,PerfectCondCondition
247,248,776,775,PerfectCondCondition
248,249,777,776,PerfectCondCondition
249,250,778,777,PerfectCondCondition
250,251,779,778,PerfectCondCondition
251,252,780,779,PerfectCondCondition
252,253,781,780,PerfectCondCondition
253,254,782,781,PerfectCondCondition
254,255,783,782,PerfectCondCondition
255,6,94,783,PerfectCondCondition
37,652,784,38,PerfectCondCondition
652,653,785,784,PerfectCondCondition
653,654,786,785,PerfectCondCondition
654,655,787,786,PerfectCondCondition
655,656,788,787,PerfectCondCondition
656,657,789,788,PerfectCondCondition
657,658,790,789,PerfectCondCondition
658,659,791,790,PerfectCondCondition
659,660,792,791,PerfectCondCondition
660,661,793,792,PerfectCondCondition
661,662,794,793,PerfectCondCondition
662,663,795,794,PerfectCondCondition
663,664,796,795,PerfectCondCondition
664,665,797,796,PerfectCondCondition
665,666,798,797,PerfectCondCondition
666,667,799,798,PerfectCondCondition
667,668,800,799,PerfectCondCondition
668,669,801,800,PerfectCondCondition
669,670,802,801,PerfectCondCondition
670,671,803,802,PerfectCondCondition
671,672,804,803,PerfectCondCondition
672,673,805,804,PerfectCondCondition
673,674,806,805,PerfectCondCondition
674,675,807,806,PerfectCondCondition
675,676,808,807,PerfectCondCondition
676,677,809,808,PerfectCondCondition
677,678,810,809,PerfectCondCondition
678,679,811,810,PerfectCondCondition
679,680,812,811,PerfectCondCondition
680,681,813,812,PerfectCondCondition
681,682,814,813,PerfectCondCondition
682,683,815,814,PerfectCondCondition
683,684,816,815,PerfectCondCondition
684,685,817,816,PerfectCondCondition
685,686,818,817,PerfectCondCondition
686,687,819,818,PerfectCondCondition
687,688,820,819,PerfectCondCondition
688,689,821,820,PerfectCondCondition
689,690,822,821,PerfectCondCondition
690,691,823,822,PerfectCondCondition
691,692,824,823,PerfectCondCondition
692,693,825,824,PerfectCondCondition
693,694,826,825,PerfectCondCondition
694,695,827,826,PerfectCondCondition
695,696,828,827,PerfectCondCondition
696,697,829,828,PerfectCondCondition
697,698,830,829,PerfectCondCondition
698,699,831,830,PerfectCondCondition
699,700,832,831,PerfectCondCondition
700,701,833,832,PerfectCondCondition
701,702,834,833,PerfectCondCondition
702,703,835,834,PerfectCondCondition
703,704,836,835,PerfectCondCondition
704,705,837,836,PerfectCondCondition
705,706,838,837,PerfectCondCondition
706,707,839,838,PerfectCondCondition
707,708,840,839,PerfectCondCondition
708,709,841,840,PerfectCondCondition
709,710,842,841,PerfectCondCondition
710,711,843,842,PerfectCondCondition
711,712,844,843,PerfectCondCondition
712,713,845,844,PerfectCondCondition
713,714,846,845,PerfectCondCondition
714,715,847,846,PerfectCondCondition
715,716,848,847,PerfectCondCondition
716,717,849,848,PerfectCondCondition
717,718,850,849,PerfectCondCondition
