Длина волны в свободном пространстве = 0.299792
Full matrix memory usage: 2095.48 Gb
Toeplitz matrix memory usage: 14.3729 Gb
Toeplitz and compressed matrix memory usage: 1.05538 Gb
Profit with toeplitz: 145.794
Profit with toeplitz and compressed: 1985.52
Мозаичный ранг = 188
GMRES without precond
400
1 it: 0.577455,
2 it: 0.430028,
3 it: 0.373249,
4 it: 0.319267,
5 it: 0.286393,
6 it: 0.26419,
7 it: 0.244162,
8 it: 0.223471,
9 it: 0.206848,
10 it: 0.193245,
11 it: 0.183084,
12 it: 0.17285,
13 it: 0.165788,
14 it: 0.15609,
15 it: 0.148783,
16 it: 0.141927,
17 it: 0.135966,
18 it: 0.130886,
19 it: 0.12499,
20 it: 0.121037,
21 it: 0.117911,
22 it: 0.11509,
23 it: 0.111884,
24 it: 0.108992,
25 it: 0.106405,
26 it: 0.103567,
27 it: 0.100012,
28 it: 0.0974782,
29 it: 0.0934621,
30 it: 0.0900856,
31 it: 0.0871723,
32 it: 0.0847372,
33 it: 0.0821656,
34 it: 0.0792525,
35 it: 0.0766601,
36 it: 0.0743013,
37 it: 0.0712994,
38 it: 0.0686073,
39 it: 0.0671447,
40 it: 0.0654726,
41 it: 0.063685,
42 it: 0.062112,
43 it: 0.0604695,
44 it: 0.0587762,
45 it: 0.0569143,
46 it: 0.0554865,
47 it: 0.0537863,
48 it: 0.0520774,
49 it: 0.050593,
50 it: 0.0493443,
51 it: 0.0477833,
52 it: 0.0462443,
53 it: 0.0448683,
54 it: 0.043381,
55 it: 0.0422248,
56 it: 0.0411159,
57 it: 0.0400961,
58 it: 0.0390268,
59 it: 0.0377533,
60 it: 0.0364587,
61 it: 0.0354254,
62 it: 0.0343077,
63 it: 0.0332233,
64 it: 0.0321472,
65 it: 0.0308626,
66 it: 0.0299438,
67 it: 0.0290537,
68 it: 0.0280867,
69 it: 0.0273032,
70 it: 0.026542,
71 it: 0.0259797,
72 it: 0.0255414,
73 it: 0.0250634,
74 it: 0.0246598,
75 it: 0.024252,
76 it: 0.0238419,
77 it: 0.0234074,
78 it: 0.0229207,
79 it: 0.0223878,
80 it: 0.0219279,
81 it: 0.0215358,
82 it: 0.021146,
83 it: 0.0208018,
84 it: 0.0204184,
85 it: 0.0200642,
86 it: 0.0196843,
87 it: 0.0193087,
88 it: 0.0188913,
89 it: 0.0185077,
90 it: 0.0181047,
91 it: 0.017792,
92 it: 0.0174899,
93 it: 0.0171331,
94 it: 0.0168253,
95 it: 0.0165195,
96 it: 0.016192,
97 it: 0.0158854,
98 it: 0.0156107,
99 it: 0.0153697,
100 it: 0.0150677,
101 it: 0.0147918,
102 it: 0.0144666,
103 it: 0.014173,
104 it: 0.013859,
105 it: 0.0135743,
106 it: 0.013273,
107 it: 0.0130395,
108 it: 0.012819,
109 it: 0.0125744,
110 it: 0.0123373,
111 it: 0.0121238,
112 it: 0.0118848,
113 it: 0.0116298,
114 it: 0.0114292,
115 it: 0.0112067,
116 it: 0.0110323,
117 it: 0.0108592,
118 it: 0.0107166,
119 it: 0.0105757,
120 it: 0.0104433,
121 it: 0.0102804,
122 it: 0.0100935,
123 it: 0.00993675,
124 it: 0.00979344,
125 it: 0.00966844,
126 it: 0.00955848,
127 it: 0.00944684,
128 it: 0.00933916,
129 it: 0.00923289,
130 it: 0.00910963,
131 it: 0.0090005,
132 it: 0.00889954,
133 it: 0.0087994,
134 it: 0.00869782,
135 it: 0.00859505,
136 it: 0.00849743,
137 it: 0.00839327,
138 it: 0.00828711,
139 it: 0.00817692,
140 it: 0.00805346,
141 it: 0.00795266,
142 it: 0.00783136,
143 it: 0.0076977,
144 it: 0.00757567,
145 it: 0.00746665,
146 it: 0.00736113,
147 it: 0.0072557,
148 it: 0.0071603,
149 it: 0.00705825,
150 it: 0.0069489,
151 it: 0.0068369,
152 it: 0.00670851,
153 it: 0.00660085,
154 it: 0.00648408,
155 it: 0.00636514,
156 it: 0.00624636,
157 it: 0.00612751,
158 it: 0.00601082,
159 it: 0.00589737,
160 it: 0.005777,
161 it: 0.00565865,
162 it: 0.00553028,
163 it: 0.00541221,
164 it: 0.00529662,
165 it: 0.00518773,
166 it: 0.00508072,
167 it: 0.00496328,
168 it: 0.00485355,
169 it: 0.00472959,
170 it: 0.00461794,
171 it: 0.00450231,
172 it: 0.00438357,
173 it: 0.00425863,
174 it: 0.00414806,
175 it: 0.00403558,
176 it: 0.00393252,
177 it: 0.00382444,
178 it: 0.00372159,
179 it: 0.00362929,
180 it: 0.00353957,
181 it: 0.00345336,
