angle,rsp
0,-4.41887
0.25,-4.41886
0.5,-4.41903
0.75,-4.41939
1,-4.41995
1.25,-4.4207
1.5,-4.42165
1.75,-4.42278
2,-4.42411
2.25,-4.42564
2.5,-4.42736
2.75,-4.42927
3,-4.43138
3.25,-4.43369
3.5,-4.43619
3.75,-4.43888
4,-4.44178
4.25,-4.44487
4.5,-4.44817
4.75,-4.45166
5,-4.45535
5.25,-4.45924
5.5,-4.46334
5.75,-4.46764
6,-4.47214
6.25,-4.47684
6.5,-4.48176
6.75,-4.48688
7,-4.4922
7.25,-4.49774
7.5,-4.50348
7.75,-4.50944
8,-4.51561
8.25,-4.52199
8.5,-4.52859
8.75,-4.5354
9,-4.54244
9.25,-4.54969
9.5,-4.55716
9.75,-4.56486
10,-4.57278
10.25,-4.58093
10.5,-4.58931
10.75,-4.59791
11,-4.60675
11.25,-4.61582
11.5,-4.62513
11.75,-4.63467
12,-4.64445
12.25,-4.65448
12.5,-4.66475
12.75,-4.67527
13,-4.68604
13.25,-4.69706
13.5,-4.70833
13.75,-4.71986
14,-4.73165
14.25,-4.74371
14.5,-4.75603
14.75,-4.76861
15,-4.78147
15.25,-4.79461
15.5,-4.80802
15.75,-4.82171
16,-4.83569
16.25,-4.84996
16.5,-4.86451
16.75,-4.87937
17,-4.89452
17.25,-4.90998
17.5,-4.92574
17.75,-4.94182
18,-4.95821
18.25,-4.97492
18.5,-4.99196
18.75,-5.00932
19,-5.02702
19.25,-5.04506
19.5,-5.06344
19.75,-5.08218
20,-5.10126
20.25,-5.12071
20.5,-5.14052
20.75,-5.16069
21,-5.18125
21.25,-5.20219
21.5,-5.22351
21.75,-5.24523
22,-5.26735
22.25,-5.28987
22.5,-5.31281
22.75,-5.33616
23,-5.35994
23.25,-5.38416
23.5,-5.40881
23.75,-5.4339
24,-5.45944
24.25,-5.48545
24.5,-5.51191
24.75,-5.53885
25,-5.56627
25.25,-5.59416
25.5,-5.62255
25.75,-5.65143
26,-5.68082
26.25,-5.71071
26.5,-5.7411
26.75,-5.77202
27,-5.80345
27.25,-5.8354
27.5,-5.86787
27.75,-5.90086
28,-5.93438
28.25,-5.96841
28.5,-6.00297
28.75,-6.03803
29,-6.07359
29.25,-6.10965
29.5,-6.14618
29.75,-6.18318
30,-6.22062
30.25,-6.25847
30.5,-6.29672
30.75,-6.33531
31,-6.37422
31.25,-6.4134
31.5,-6.45278
31.75,-6.49231
32,-6.53191
32.25,-6.57151
32.5,-6.611
32.75,-6.65029
33,-6.68925
33.25,-6.72776
33.5,-6.76567
33.75,-6.80282
34,-6.83904
34.25,-6.87415
34.5,-6.90794
34.75,-6.9402
35,-6.97072
35.25,-6.99926
35.5,-7.02561
35.75,-7.04953
36,-7.07079
36.25,-7.08919
36.5,-7.10452
36.75,-7.11662
37,-7.12534
37.25,-7.13056
37.5,-7.13221
37.75,-7.13024
38,-7.12465
38.25,-7.11549
38.5,-7.10283
38.75,-7.0868
39,-7.06753
39.25,-7.04521
39.5,-7.02003
39.75,-6.9922
40,-6.96194
40.25,-6.92949
40.5,-6.89507
40.75,-6.85892
41,-6.82124
41.25,-6.78225
41.5,-6.74216
41.75,-6.70113
42,-6.65936
42.25,-6.61699
42.5,-6.57416
42.75,-6.53102
43,-6.48767
43.25,-6.44423
43.5,-6.40078
43.75,-6.3574
44,-6.31418
44.25,-6.27116
44.5,-6.22842
44.75,-6.18598
45,-6.14391
45.25,-6.10222
45.5,-6.06095
45.75,-6.02012
46,-5.97976
46.25,-5.93988
46.5,-5.90049
46.75,-5.8616
47,-5.82323
47.25,-5.78537
47.5,-5.74804
47.75,-5.71123
48,-5.67494
48.25,-5.63917
48.5,-5.60393
48.75,-5.56921
49,-5.535
49.25,-5.5013
49.5,-5.46811
49.75,-5.43542
50,-5.40323
50.25,-5.37152
50.5,-5.34031
50.75,-5.30957
51,-5.2793
51.25,-5.2495
51.5,-5.22016
51.75,-5.19127
52,-5.16283
52.25,-5.13483
52.5,-5.10726
52.75,-5.08012
53,-5.0534
53.25,-5.02709
53.5,-5.00119
53.75,-4.9757
54,-4.95059
54.25,-4.92588
54.5,-4.90155
54.75,-4.8776
55,-4.85402
55.25,-4.83081
55.5,-4.80796
55.75,-4.78547
56,-4.76332
56.25,-4.74153
56.5,-4.72007
56.75,-4.69895
57,-4.67817
57.25,-4.6577
57.5,-4.63757
57.75,-4.61775
58,-4.59824
58.25,-4.57905
58.5,-4.56016
58.75,-4.54157
59,-4.52328
59.25,-4.50529
59.5,-4.48759
59.75,-4.47017
60,-4.45304
60.25,-4.43619
60.5,-4.41961
60.75,-4.40332
61,-4.38729
61.25,-4.37153
61.5,-4.35604
61.75,-4.34081
62,-4.32584
62.25,-4.31112
62.5,-4.29667
62.75,-4.28246
63,-4.26851
63.25,-4.2548
63.5,-4.24134
63.75,-4.22812
64,-4.21514
64.25,-4.2024
64.5,-4.1899
64.75,-4.17764
65,-4.1656
65.25,-4.1538
65.5,-4.14223
65.75,-4.13089
66,-4.11977
66.25,-4.10888
66.5,-4.09821
66.75,-4.08776
67,-4.07753
67.25,-4.06752
67.5,-4.05773
67.75,-4.04816
68,-4.0388
68.25,-4.02965
68.5,-4.02072
68.75,-4.012
69,-4.00349
69.25,-3.99519
69.5,-3.98709
69.75,-3.97921
70,-3.97153
70.25,-3.96406
70.5,-3.95679
70.75,-3.94973
71,-3.94287
71.25,-3.93621
71.5,-3.92976
71.75,-3.9235
72,-3.91745
72.25,-3.9116
72.5,-3.90595
72.75,-3.9005
73,-3.89525
73.25,-3.89019
73.5,-3.88534
73.75,-3.88068
74,-3.87622
74.25,-3.87196
74.5,-3.8679
74.75,-3.86403
75,-3.86036
75.25,-3.85688
75.5,-3.85361
75.75,-3.85052
76,-3.84764
76.25,-3.84495
76.5,-3.84246
76.75,-3.84016
77,-3.83806
77.25,-3.83616
77.5,-3.83445
77.75,-3.83295
78,-3.83163
78.25,-3.83052
78.5,-3.8296
78.75,-3.82888
79,-3.82836
79.25,-3.82804
79.5,-3.82791
79.75,-3.82799
80,-3.82826
80.25,-3.82873
80.5,-3.82941
80.75,-3.83028
81,-3.83136
81.25,-3.83263
81.5,-3.83411
81.75,-3.83579
82,-3.83768
82.25,-3.83977
82.5,-3.84206
82.75,-3.84456
83,-3.84726
83.25,-3.85017
83.5,-3.85329
83.75,-3.85661
84,-3.86015
84.25,-3.86389
84.5,-3.86784
84.75,-3.872
85,-3.87637
85.25,-3.88096
85.5,-3.88575
85.75,-3.89076
86,-3.89599
86.25,-3.90143
86.5,-3.90708
86.75,-3.91295
87,-3.91903
87.25,-3.92534
87.5,-3.93186
87.75,-3.9386
88,-3.94555
88.25,-3.95273
88.5,-3.96013
88.75,-3.96774
89,-3.97558
89.25,-3.98364
89.5,-3.99192
89.75,-4.00042
90,-4.00914
90.25,-4.01808
90.5,-4.02724
90.75,-4.03662
91,-4.04623
91.25,-4.05605
91.5,-4.06609
91.75,-4.07635
92,-4.08682
92.25,-4.09751
92.5,-4.10842
92.75,-4.11954
93,-4.13086
93.25,-4.1424
93.5,-4.15414
93.75,-4.16608
94,-4.17822
94.25,-4.19055
94.5,-4.20308
94.75,-4.21579
95,-4.22869
95.25,-4.24176
95.5,-4.255
95.75,-4.2684
96,-4.28196
96.25,-4.29567
96.5,-4.30951
96.75,-4.32349
97,-4.33758
97.25,-4.35178
97.5,-4.36608
97.75,-4.38046
98,-4.39491
98.25,-4.40941
98.5,-4.42394
98.75,-4.4385
99,-4.45305
99.25,-4.46759
99.5,-4.48208
99.75,-4.49651
