angle,rsp
0,-5.96306
1,-5.96127
2,-5.96391
3,-5.97098
4,-5.98252
5,-5.99856
6,-6.01916
7,-6.04441
8,-6.07441
9,-6.10927
10,-6.14916
11,-6.19425
12,-6.24475
13,-6.3009
14,-6.36299
15,-6.43136
16,-6.50639
17,-6.58855
18,-6.67836
19,-6.77646
20,-6.8836
21,-7.00068
22,-7.12876
23,-7.26915
24,-7.42344
25,-7.59358
26,-7.78201
27,-7.99178
28,-8.22671
29,-8.49154
30,-8.79184
31,-9.13325
32,-9.5178
33,-9.93154
34,-10.3108
35,-10.505
36,-10.3874
37,-10.0486
38,-9.65154
39,-9.2763
40,-8.94335
41,-8.6524
42,-8.39813
43,-8.17481
44,-7.97751
45,-7.80223
46,-7.64576
47,-7.50554
48,-7.37951
49,-7.26598
50,-7.16359
51,-7.07118
52,-6.9878
53,-6.91263
54,-6.84497
55,-6.78422
56,-6.72985
57,-6.68137
58,-6.63838
59,-6.60047
60,-6.5673
61,-6.53853
62,-6.51384
63,-6.49292
64,-6.47547
65,-6.4612
66,-6.44981
67,-6.44099
68,-6.43443
69,-6.42983
70,-6.42685
71,-6.42517
72,-6.42444
73,-6.42433
74,-6.4245
75,-6.42459
76,-6.42428
77,-6.42327
78,-6.42125
79,-6.41797
80,-6.41321
81,-6.40681
82,-6.39864
83,-6.38865
84,-6.37684
85,-6.36325
86,-6.348
87,-6.33126
88,-6.31324
89,-6.29417
90,-6.27434
91,-6.25403
92,-6.23355
93,-6.21321
94,-6.19332
95,-6.17416
96,-6.15603
97,-6.13918
98,-6.12387
99,-6.1103
100,-6.09868
101,-6.08917
102,-6.08189
103,-6.07694
104,-6.07437
105,-6.07421
106,-6.07639
107,-6.08082
108,-6.08732
109,-6.09563
110,-6.10539
111,-6.11614
112,-6.12727
113,-6.13804
114,-6.14756
115,-6.15479
116,-6.15854
117,-6.15752
118,-6.1504
119,-6.13586
120,-6.11272
121,-6.07999
122,-6.03705
123,-5.98366
124,-5.92
125,-5.84664
126,-5.76451
127,-5.67477
128,-5.57872
129,-5.4777
130,-5.373
131,-5.26582
132,-5.15723
133,-5.04815
134,-4.93936
135,-4.83148
136,-4.72504
137,-4.62043
138,-4.51798
139,-4.41792
140,-4.32043
141,-4.22564
142,-4.13363
143,-4.04446
144,-3.95817
145,-3.87475
146,-3.79421
147,-3.71653
148,-3.64169
149,-3.56966
150,-3.50041
151,-3.4339
152,-3.3701
153,-3.30895
154,-3.25043
155,-3.1945
156,-3.14112
157,-3.09024
158,-3.04185
159,-2.99589
160,-2.95235
161,-2.91118
162,-2.87236
163,-2.83587
164,-2.80167
165,-2.76974
166,-2.74006
167,-2.71262
168,-2.68738
169,-2.66434
170,-2.64348
171,-2.62478
172,-2.60824
173,-2.59385
174,-2.58158
175,-2.57145
176,-2.56344
177,-2.55754
178,-2.55376
179,-2.5521
