angle,rsp
0,-6.71586
0.5,-6.72095
1,-6.73577
1.5,-6.76054
2,-6.79557
2.5,-6.84124
3,-6.89803
3.5,-6.96654
4,-7.0475
4.5,-7.14182
5,-7.25065
5.5,-7.37543
6,-7.51797
6.5,-7.68066
7,-7.8666
7.5,-8.08002
8,-8.32676
8.5,-8.6153
9,-8.95851
9.5,-9.37724
10,-9.90859
10.5,-10.6281
11,-11.7248
11.5,-13.6801
12,-12.7145
12.5,-11.2412
13,-10.3883
13.5,-9.80479
14,-9.36818
14.5,-9.02432
15,-8.74469
15.5,-8.51247
16,-8.31693
16.5,-8.15081
17,-8.00896
17.5,-7.88764
18,-7.78403
18.5,-7.69596
19,-7.62176
19.5,-7.56011
20,-7.51
20.5,-7.47062
21,-7.44136
21.5,-7.42176
22,-7.4115
22.5,-7.41039
23,-7.41835
23.5,-7.43539
24,-7.46164
24.5,-7.49733
25,-7.54281
25.5,-7.59851
26,-7.66503
26.5,-7.74308
27,-7.83355
27.5,-7.93751
28,-8.05628
28.5,-8.19143
29,-8.34491
29.5,-8.51906
30,-8.71673
30.5,-8.94129
31,-9.19653
31.5,-9.48612
32,-9.81168
32.5,-10.1672
33,-10.5252
33.5,-10.8125
34,-10.9166
34.5,-10.7906
35,-10.5184
35.5,-10.2062
36,-9.9104
36.5,-9.64977
37,-9.42723
37.5,-9.24064
38,-9.08669
38.5,-8.96228
39,-8.86482
39.5,-8.79233
40,-8.7434
40.5,-8.71708
41,-8.7129
41.5,-8.73081
42,-8.77117
42.5,-8.8348
43,-8.92295
43.5,-9.03741
44,-9.18054
44.5,-9.35519
45,-9.56452
45.5,-9.81107
46,-10.094
46.5,-10.4017
47,-10.695
47.5,-10.8877
48,-10.8794
48.5,-10.6657
49,-10.3443
49.5,-10.0041
50,-9.68673
50.5,-9.40486
51,-9.15953
51.5,-8.94813
52,-8.7673
52.5,-8.61391
53,-8.4853
53.5,-8.37932
54,-8.2943
54.5,-8.22893
55,-8.18227
55.5,-8.15365
56,-8.1427
56.5,-8.14926
57,-8.17347
57.5,-8.21569
58,-8.27657
58.5,-8.35711
59,-8.45869
59.5,-8.58321
60,-8.73322
60.5,-8.91216
61,-9.12475
61.5,-9.37751
62,-9.67968
62.5,-10.0444
63,-10.4902
63.5,-11.0385
64,-11.6829
64.5,-12.2151
65,-12.1101
65.5,-11.5327
66,-10.957
66.5,-10.4882
67,-10.1153
67.5,-9.8167
68,-9.57595
68.5,-9.38133
69,-9.22464
69.5,-9.10001
70,-9.00314
70.5,-8.93083
71,-8.88063
71.5,-8.85063
72,-8.83929
72.5,-8.84531
73,-8.86754
73.5,-8.90491
74,-8.95625
74.5,-9.02027
75,-9.0954
75.5,-9.17966
76,-9.27053
76.5,-9.36483
77,-9.45877
77.5,-9.54799
78,-9.62803
78.5,-9.69491
79,-9.7459
79.5,-9.78013
80,-9.79885
80.5,-9.80518
81,-9.80341
81.5,-9.79825
82,-9.79416
82.5,-9.79497
83,-9.80363
83.5,-9.82211
84,-9.85133
84.5,-9.89096
85,-9.93919
85.5,-9.99225
86,-10.044
86.5,-10.0857
87,-10.1065
87.5,-10.0955
88,-10.0452
88.5,-9.95379
89,-9.82672
89.5,-9.67388
90,-9.50645
90.5,-9.33434
91,-9.16507
91.5,-9.00383
92,-8.85391
92.5,-8.7173
93,-8.59516
93.5,-8.48807
94,-8.39637
94.5,-8.32023
95,-8.25978
95.5,-8.21519
96,-8.18667
96.5,-8.1746
97,-8.17947
97.5,-8.20199
98,-8.24307
98.5,-8.30395
99,-8.38621
99.5,-8.49188
100,-8.62351
100.5,-8.78431
101,-8.97813
101.5,-9.2092
102,-9.48095
102.5,-9.7919
103,-10.124
103.5,-10.4163
104,-10.5467
104.5,-10.4212
105,-10.1043
105.5,-9.72496
106,-9.35798
106.5,-9.02805
107,-8.73881
107.5,-8.48733
108,-8.26936
108.5,-8.08084
109,-7.91838
109.5,-7.77923
110,-7.6612
110.5,-7.56259
111,-7.48208
111.5,-7.41869
112,-7.37171
112.5,-7.34068
113,-7.32535
113.5,-7.32571
114,-7.34195
114.5,-7.3745
115,-7.42408
115.5,-7.49169
116,-7.57872
116.5,-7.68707
117,-7.81927
117.5,-7.97875
118,-8.17021
118.5,-8.40016
119,-8.67788
119.5,-9.01677
120,-9.43605
120.5,-9.95987
121,-10.5908
121.5,-11.1364
122,-11.0221
122.5,-10.3848
123,-9.74889
123.5,-9.22577
124,-8.80076
124.5,-8.45016
125,-8.15618
125.5,-7.90645
126,-7.69234
126.5,-7.5077
127,-7.34803
127.5,-7.20998
128,-7.09099
128.5,-6.98911
129,-6.90283
129.5,-6.83097
130,-6.77265
130.5,-6.72716
131,-6.69403
131.5,-6.67293
132,-6.66367
132.5,-6.66622
133,-6.68069
133.5,-6.70733
134,-6.74655
134.5,-6.79893
135,-6.86527
135.5,-6.9466
136,-7.04423
136.5,-7.15984
137,-7.29554
137.5,-7.454
138,-7.6385
138.5,-7.85302
139,-8.10194
139.5,-8.38896
140,-8.71321
140.5,-9.05779
141,-9.36341
141.5,-9.50732
142,-9.38975
142.5,-9.0719
143,-8.686
143.5,-8.30934
144,-7.96747
144.5,-7.66409
145,-7.39617
145.5,-7.1593
146,-6.9493
146.5,-6.76264
147,-6.59643
147.5,-6.44836
148,-6.31657
148.5,-6.19956
149,-6.09613
149.5,-6.00533
150,-5.92638
150.5,-5.8587
151,-5.80183
151.5,-5.75543
152,-5.71926
152.5,-5.6932
153,-5.67722
153.5,-5.67138
154,-5.67582
154.5,-5.69079
155,-5.71663
155.5,-5.7538
156,-5.80284
156.5,-5.86442
157,-5.93933
157.5,-6.02841
158,-6.13258
158.5,-6.25262
159,-6.389
159.5,-6.54129
160,-6.70718
160.5,-6.88063
161,-7.04897
161.5,-7.18975
162,-7.27122
162.5,-7.26288
163,-7.15447
163.5,-6.96393
164,-6.72388
164.5,-6.46375
165,-6.20278
165.5,-5.9512
166,-5.71361
166.5,-5.4915
167,-5.28484
167.5,-5.09292
168,-4.91477
168.5,-4.74935
169,-4.59567
169.5,-4.45284
170,-4.32004
170.5,-4.19656
171,-4.08178
171.5,-3.97516
172,-3.87621
172.5,-3.78451
173,-3.69972
173.5,-3.62151
174,-3.54962
174.5,-3.48379
175,-3.42384
175.5,-3.36958
176,-3.32086
176.5,-3.27756
177,-3.23956
177.5,-3.20678
178,-3.17915
178.5,-3.15661
179,-3.13913
179.5,-3.12667
