angle,rsp
0,-11.0333
0.25,-11.0337
0.5,-11.0352
0.75,-11.0375
1,-11.0409
1.25,-11.0452
1.5,-11.0504
1.75,-11.0566
2,-11.0638
2.25,-11.072
2.5,-11.0811
2.75,-11.0911
3,-11.1022
3.25,-11.1142
3.5,-11.1272
3.75,-11.1412
4,-11.1562
4.25,-11.1721
4.5,-11.1891
4.75,-11.2071
5,-11.226
5.25,-11.246
5.5,-11.2669
5.75,-11.2888
6,-11.3118
6.25,-11.3357
6.5,-11.3606
6.75,-11.3865
7,-11.4133
7.25,-11.4411
7.5,-11.4698
7.75,-11.4994
8,-11.5298
8.25,-11.5611
8.5,-11.5932
8.75,-11.626
9,-11.6594
9.25,-11.6935
9.5,-11.728
9.75,-11.7629
10,-11.7981
10.25,-11.8335
10.5,-11.8687
10.75,-11.9038
11,-11.9385
11.25,-11.9726
11.5,-12.0058
11.75,-12.0378
12,-12.0684
12.25,-12.0973
12.5,-12.1241
12.75,-12.1485
13,-12.1701
13.25,-12.1887
13.5,-12.2039
13.75,-12.2154
14,-12.2229
14.25,-12.2263
14.5,-12.2254
14.75,-12.2201
15,-12.2104
15.25,-12.1962
15.5,-12.1778
15.75,-12.1552
16,-12.1287
16.25,-12.0986
16.5,-12.0652
16.75,-12.0286
17,-11.9894
17.25,-11.9479
17.5,-11.9043
17.75,-11.8589
18,-11.8122
18.25,-11.7644
18.5,-11.7156
18.75,-11.6663
19,-11.6166
19.25,-11.5667
19.5,-11.5167
19.75,-11.4669
20,-11.4173
20.25,-11.368
20.5,-11.3193
20.75,-11.2711
21,-11.2235
21.25,-11.1766
21.5,-11.1305
21.75,-11.0851
22,-11.0405
22.25,-10.9968
22.5,-10.954
22.75,-10.912
23,-10.8709
23.25,-10.8307
23.5,-10.7915
23.75,-10.7531
24,-10.7157
24.25,-10.6791
24.5,-10.6435
24.75,-10.6088
25,-10.575
25.25,-10.5421
25.5,-10.5101
25.75,-10.479
26,-10.4488
26.25,-10.4194
26.5,-10.3909
26.75,-10.3633
27,-10.3365
27.25,-10.3105
27.5,-10.2854
27.75,-10.2611
28,-10.2377
28.25,-10.215
28.5,-10.1932
28.75,-10.1721
29,-10.1519
29.25,-10.1325
29.5,-10.1138
29.75,-10.0959
30,-10.0788
30.25,-10.0624
30.5,-10.0469
30.75,-10.032
31,-10.018
31.25,-10.0047
31.5,-9.99211
31.75,-9.9803
32,-9.96924
32.25,-9.95892
32.5,-9.94934
32.75,-9.9405
33,-9.9324
33.25,-9.92504
33.5,-9.91843
33.75,-9.91255
34,-9.90741
34.25,-9.90302
34.5,-9.89936
34.75,-9.89646
35,-9.8943
35.25,-9.89289
35.5,-9.89223
35.75,-9.89234
36,-9.8932
36.25,-9.89483
36.5,-9.89723
36.75,-9.90041
37,-9.90437
37.25,-9.90913
37.5,-9.91468
37.75,-9.92103
38,-9.92821
38.25,-9.9362
38.5,-9.94503
38.75,-9.9547
39,-9.96523
39.25,-9.97663
39.5,-9.9889
39.75,-10.0021
40,-10.0162
40.25,-10.0312
40.5,-10.0471
40.75,-10.064
41,-10.0819
41.25,-10.1008
41.5,-10.1207
41.75,-10.1417
