angle,rsp
0,-6.85141
0.5,-6.85309
1,-6.85814
1.5,-6.86651
2,-6.87809
2.5,-6.89279
3,-6.91045
3.5,-6.9309
4,-6.95393
4.5,-6.97933
5,-7.00685
5.5,-7.03625
6,-7.06728
6.5,-7.09971
7,-7.13331
7.5,-7.16792
8,-7.20338
8.5,-7.23961
9,-7.27658
9.5,-7.31436
10,-7.35305
10.5,-7.39287
11,-7.43409
11.5,-7.47708
12,-7.52227
12.5,-7.57015
13,-7.62126
13.5,-7.67623
14,-7.73569
14.5,-7.80035
15,-7.87095
15.5,-7.94828
16,-8.0332
16.5,-8.12661
17,-8.22952
17.5,-8.34302
18,-8.46836
18.5,-8.60695
19,-8.7604
19.5,-8.93063
20,-9.11988
20.5,-9.33082
21,-9.56662
21.5,-9.83089
22,-10.1274
22.5,-10.4589
23,-10.8235
23.5,-11.2056
24,-11.5551
24.5,-11.7719
25,-11.765
25.5,-11.565
26,-11.2815
26.5,-10.9935
27,-10.7328
27.5,-10.5073
28,-10.3161
28.5,-10.1556
29,-10.0221
29.5,-9.9119
30,-9.82186
30.5,-9.74918
31,-9.69134
31.5,-9.64605
32,-9.61114
32.5,-9.58454
33,-9.56425
33.5,-9.54836
34,-9.53507
34.5,-9.52272
35,-9.50993
35.5,-9.49563
36,-9.47915
36.5,-9.46024
37,-9.4391
37.5,-9.41635
38,-9.39291
38.5,-9.36997
39,-9.34887
39.5,-9.33102
40,-9.31784
40.5,-9.31073
41,-9.31102
41.5,-9.32002
42,-9.33898
42.5,-9.36917
43,-9.41186
43.5,-9.4684
44,-9.54028
44.5,-9.62916
45,-9.73697
45.5,-9.86597
46,-10.0189
46.5,-10.199
47,-10.4099
47.5,-10.6559
48,-10.9399
48.5,-11.2607
49,-11.6024
49.5,-11.9125
50,-12.0831
50.5,-12.0178
51,-11.7559
51.5,-11.4165
52,-11.0793
52.5,-10.7746
53,-10.509
53.5,-10.281
54,-10.0868
54.5,-9.92276
55,-9.78561
55.5,-9.67267
56,-9.5818
56.5,-9.51128
57,-9.45977
57.5,-9.4262
58,-9.40971
58.5,-9.40961
59,-9.4253
59.5,-9.45621
60,-9.50174
60.5,-9.5611
61,-9.63323
61.5,-9.71654
62,-9.80871
62.5,-9.9063
63,-10.0045
63.5,-10.0969
64,-10.1758
64.5,-10.2331
65,-10.262
65.5,-10.2588
66,-10.2246
66.5,-10.1645
67,-10.086
67.5,-9.9975
68,-9.90616
68.5,-9.81782
69,-9.73675
69.5,-9.66592
70,-9.60734
70.5,-9.56235
71,-9.53181
71.5,-9.51632
72,-9.51624
72.5,-9.53179
73,-9.56303
73.5,-9.60979
74,-9.67155
74.5,-9.74722
75,-9.83473
75.5,-9.93058
76,-10.0291
76.5,-10.1218
77,-10.1973
77.5,-10.2425
78,-10.2459
78.5,-10.2018
79,-10.1127
79.5,-9.98857
80,-9.84211
80.5,-9.68547
81,-9.5281
81.5,-9.37651
82,-9.2348
82.5,-9.10535
83,-8.98946
83.5,-8.88773
84,-8.80038
84.5,-8.72741
85,-8.66873
85.5,-8.62423
86,-8.59379
86.5,-8.57734
87,-8.57485
87.5,-8.58634
88,-8.61186
88.5,-8.65145
89,-8.70517
89.5,-8.77294
90,-8.8545
90.5,-8.94923
91,-9.05584
91.5,-9.172
92,-9.29374
92.5,-9.41482
93,-9.52613
93.5,-9.61592
94,-9.67147
94.5,-9.68271
95,-9.64613
95.5,-9.56643
96,-9.45432
