angle,rsp
0,-6.71586
0.5,-6.72454
1,-6.73455
1.5,-6.74593
2,-6.75866
2.5,-6.77275
3,-6.78821
3.5,-6.80505
4,-6.82328
4.5,-6.84289
5,-6.86392
5.5,-6.88639
6,-6.91033
6.5,-6.93579
7,-6.96284
7.5,-6.99156
8,-7.02205
8.5,-7.05442
9,-7.08884
9.5,-7.12545
10,-7.16446
10.5,-7.20609
11,-7.25058
11.5,-7.2982
12,-7.34926
12.5,-7.40408
13,-7.46301
13.5,-7.52646
14,-7.59484
14.5,-7.66862
15,-7.74831
15.5,-7.83446
16,-7.9277
16.5,-8.02871
17,-8.13829
17.5,-8.25734
18,-8.38688
18.5,-8.52815
19,-8.68259
19.5,-8.85199
20,-9.03852
20.5,-9.24492
21,-9.47471
21.5,-9.73248
22,-10.0244
22.5,-10.3586
23,-10.7463
23.5,-11.2011
24,-11.7338
24.5,-12.3168
25,-12.7576
25.5,-12.6971
26,-12.2405
26.5,-11.7361
27,-11.3001
27.5,-10.9391
28,-10.6395
28.5,-10.3881
29,-10.1747
29.5,-9.99172
30,-9.83338
30.5,-9.69538
31,-9.5744
31.5,-9.46782
32,-9.37359
32.5,-9.29008
33,-9.21598
33.5,-9.15027
34,-9.09215
34.5,-9.04101
35,-8.99642
35.5,-8.95809
36,-8.92586
36.5,-8.89968
37,-8.87962
37.5,-8.86581
38,-8.85849
38.5,-8.85796
39,-8.86459
39.5,-8.87883
40,-8.90118
40.5,-8.93223
41,-8.97267
41.5,-9.02324
42,-9.08486
42.5,-9.15854
43,-9.24551
43.5,-9.34723
44,-9.46548
44.5,-9.60245
45,-9.7609
45.5,-9.94441
46,-10.1576
46.5,-10.4069
47,-10.701
47.5,-11.0521
48,-11.4771
48.5,-11.9958
49,-12.6077
49.5,-13.159
50,-13.1692
50.5,-12.641
51,-12.0543
51.5,-11.5614
52,-11.1628
52.5,-10.8388
53,-10.5727
53.5,-10.3526
54,-10.1698
54.5,-10.0184
55,-9.89376
55.5,-9.79256
56,-9.71222
56.5,-9.65071
57,-9.60638
57.5,-9.57786
58,-9.56394
58.5,-9.5635
59,-9.57543
59.5,-9.59855
60,-9.63149
60.5,-9.67267
61,-9.72016
61.5,-9.77161
