angle,rsp
0,-5.45138
1,-5.45328
2,-5.459
3,-5.46856
4,-5.48197
5,-5.4993
6,-5.52058
7,-5.5459
8,-5.57532
9,-5.60896
10,-5.64693
11,-5.68936
12,-5.7364
13,-5.78823
14,-5.84505
15,-5.9071
16,-5.97462
17,-6.04791
18,-6.12731
19,-6.21319
20,-6.30598
21,-6.40615
22,-6.51425
23,-6.63087
24,-6.75668
25,-6.89237
26,-7.03867
27,-7.19627
28,-7.3657
29,-7.54712
30,-7.73988
31,-7.94183
32,-8.14807
33,-8.34921
34,-8.52953
35,-8.66688
36,-8.7378
37,-8.72819
38,-8.64221
39,-8.49943
40,-8.3238
41,-8.13493
42,-7.94562
43,-7.76307
44,-7.59081
45,-7.43019
46,-7.28145
47,-7.14419
48,-7.01779
49,-6.90151
50,-6.79459
51,-6.69632
52,-6.60603
53,-6.52312
54,-6.44704
55,-6.37728
56,-6.3134
57,-6.25498
58,-6.20165
59,-6.15306
60,-6.10891
61,-6.06889
62,-6.03273
63,-6.00018
64,-5.97099
65,-5.94493
66,-5.92177
67,-5.90131
68,-5.88333
69,-5.86762
70,-5.854
71,-5.84227
72,-5.83223
73,-5.82371
74,-5.81653
75,-5.81053
76,-5.80552
77,-5.80137
78,-5.79794
79,-5.79508
80,-5.79269
81,-5.79066
82,-5.78891
83,-5.78738
84,-5.78601
85,-5.78478
86,-5.78368
87,-5.78272
88,-5.78193
89,-5.78134
90,-5.78102
91,-5.78102
92,-5.78143
93,-5.78233
94,-5.78378
95,-5.78587
96,-5.78864
97,-5.79215
98,-5.79641
99,-5.80141
100,-5.8071
101,-5.81338
102,-5.82008
103,-5.82699
104,-5.8338
105,-5.84011
106,-5.84543
107,-5.84916
108,-5.85061
109,-5.84896
110,-5.84333
111,-5.8328
112,-5.81642
113,-5.79327
114,-5.76257
115,-5.72369
116,-5.67622
117,-5.62004
118,-5.55528
119,-5.48237
120,-5.40196
121,-5.31488
122,-5.2221
123,-5.1246
124,-5.0234
125,-4.91947
126,-4.81367
127,-4.70682
128,-4.5996
129,-4.4926
130,-4.38634
131,-4.28121
132,-4.17757
133,-4.07567
134,-3.97573
135,-3.87792
136,-3.78237
137,-3.68916
138,-3.59837
139,-3.51003
140,-3.42419
141,-3.34084
142,-3.26
143,-3.18166
144,-3.10581
145,-3.03242
146,-2.96147
147,-2.89295
148,-2.82683
149,-2.76308
150,-2.70166
151,-2.64256
152,-2.58573
153,-2.53117
154,-2.47883
155,-2.42869
156,-2.38072
157,-2.3349
158,-2.29121
159,-2.24962
160,-2.2101
161,-2.17265
162,-2.13723
163,-2.10383
164,-2.07243
165,-2.04302
166,-2.01557
167,-1.99008
168,-1.96653
169,-1.94491
170,-1.9252
171,-1.90741
172,-1.89151
173,-1.8775
174,-1.86537
175,-1.85512
176,-1.84674
177,-1.84023
178,-1.83558
179,-1.83279
