angle,rsp
0,-5.42044
1,-5.42004
2,-5.41884
3,-5.41685
4,-5.41408
5,-5.41054
6,-5.40626
7,-5.40125
8,-5.39554
9,-5.38916
10,-5.38214
11,-5.37453
12,-5.36636
13,-5.35767
14,-5.34853
15,-5.33897
16,-5.32905
17,-5.31884
18,-5.30837
19,-5.29773
20,-5.28697
21,-5.27616
22,-5.26537
23,-5.25466
24,-5.24411
25,-5.23378
26,-5.22375
27,-5.21409
28,-5.20487
29,-5.19616
30,-5.18804
31,-5.18059
32,-5.17386
33,-5.16794
34,-5.1629
35,-5.15881
36,-5.15575
37,-5.15377
38,-5.15296
39,-5.15339
40,-5.15512
41,-5.15822
42,-5.16278
43,-5.16885
44,-5.1765
45,-5.18582
46,-5.19686
47,-5.20971
48,-5.22442
49,-5.24107
50,-5.25974
51,-5.28048
52,-5.30338
53,-5.3285
54,-5.3559
55,-5.38566
56,-5.41783
57,-5.45247
58,-5.48963
59,-5.52935
60,-5.57167
61,-5.61658
62,-5.6641
63,-5.71418
64,-5.76675
65,-5.8217
66,-5.87886
67,-5.938
68,-5.99878
69,-6.06078
70,-6.12342
71,-6.18601
72,-6.24766
73,-6.30732
74,-6.36373
75,-6.41551
76,-6.46112
77,-6.499
78,-6.52765
79,-6.54575
80,-6.55234
81,-6.5469
82,-6.52942
83,-6.50039
84,-6.4608
85,-6.41194
86,-6.35533
87,-6.29257
88,-6.2252
89,-6.15467
90,-6.08226
91,-6.00905
92,-5.93597
93,-5.86374
94,-5.79295
95,-5.72406
96,-5.65742
97,-5.59326
98,-5.53176
99,-5.47302
100,-5.41711
101,-5.36405
102,-5.31379
103,-5.2663
104,-5.22149
105,-5.17926
106,-5.13946
107,-5.10196
108,-5.06656
109,-5.03308
110,-5.00128
111,-4.97092
112,-4.94172
113,-4.91338
114,-4.88558
115,-4.85798
116,-4.83021
117,-4.80189
118,-4.77263
119,-4.74205
120,-4.70976
121,-4.67539
122,-4.63861
123,-4.59914
124,-4.55672
125,-4.51118
126,-4.46242
127,-4.41039
128,-4.35514
129,-4.29677
130,-4.23545
131,-4.17143
132,-4.10496
133,-4.03637
134,-3.96598
135,-3.89414
136,-3.82119
137,-3.74747
138,-3.67331
139,-3.59901
140,-3.52485
141,-3.45111
142,-3.37801
143,-3.30576
144,-3.23456
145,-3.16457
146,-3.09593
147,-3.02877
148,-2.9632
149,-2.89931
150,-2.83718
151,-2.77687
152,-2.71845
153,-2.66195
154,-2.60741
155,-2.55487
156,-2.50434
157,-2.45585
158,-2.40942
159,-2.36504
160,-2.32274
161,-2.28252
162,-2.24437
163,-2.20831
164,-2.17432
165,-2.14242
166,-2.1126
167,-2.08485
168,-2.05918
169,-2.03558
170,-2.01404
171,-1.99457
172,-1.97715
173,-1.9618
174,-1.9485
175,-1.93724
176,-1.92804
177,-1.92089
178,-1.91578
179,-1.91271
