angle,rsp
0,-5.45138
1,-5.45141
2,-5.4515
3,-5.45163
4,-5.45181
5,-5.45201
6,-5.45222
7,-5.45242
8,-5.45259
9,-5.45269
10,-5.4527
11,-5.4526
12,-5.45235
13,-5.45192
14,-5.4513
15,-5.45044
16,-5.44934
17,-5.44797
18,-5.44632
19,-5.44437
20,-5.44212
21,-5.43958
22,-5.43675
23,-5.43364
24,-5.43028
25,-5.4267
26,-5.42292
27,-5.419
28,-5.41499
29,-5.41093
30,-5.40689
31,-5.40294
32,-5.39916
33,-5.39561
34,-5.39239
35,-5.38957
36,-5.38724
37,-5.3855
38,-5.38444
39,-5.38415
40,-5.38472
41,-5.38627
42,-5.38887
43,-5.39263
44,-5.39765
45,-5.40402
46,-5.41185
47,-5.42123
48,-5.43226
49,-5.44503
50,-5.45965
51,-5.47621
52,-5.49482
53,-5.51555
54,-5.53853
55,-5.56383
56,-5.59155
57,-5.62179
58,-5.65463
59,-5.69015
60,-5.72844
61,-5.76956
62,-5.81357
63,-5.86049
64,-5.91035
65,-5.96312
66,-6.01873
67,-6.07708
68,-6.13797
69,-6.20111
70,-6.26609
71,-6.33237
72,-6.39921
73,-6.46567
74,-6.53056
75,-6.59243
76,-6.64958
77,-6.7001
78,-6.74195
79,-6.77315
80,-6.79191
81,-6.79688
82,-6.78733
83,-6.76328
84,-6.72543
85,-6.67517
86,-6.61427
87,-6.54477
88,-6.46873
89,-6.38811
90,-6.30463
91,-6.2198
92,-6.13483
93,-6.05071
94,-5.96821
95,-5.8879
96,-5.81023
97,-5.73549
98,-5.66389
99,-5.59557
100,-5.53059
101,-5.46897
102,-5.41069
103,-5.35571
104,-5.30393
105,-5.25525
106,-5.20955
107,-5.16666
108,-5.12643
109,-5.08865
110,-5.05311
111,-5.01956
112,-4.98774
113,-4.95734
114,-4.92805
115,-4.89951
116,-4.87133
117,-4.84312
118,-4.81445
119,-4.78488
120,-4.75396
121,-4.72125
122,-4.68633
123,-4.6488
124,-4.60831
125,-4.56458
126,-4.51739
127,-4.46661
128,-4.41218
129,-4.35416
130,-4.29266
131,-4.22789
132,-4.16012
133,-4.08967
134,-4.01691
135,-3.94223
136,-3.86601
137,-3.78865
138,-3.71054
139,-3.63203
140,-3.55348
141,-3.47519
142,-3.39745
143,-3.32051
144,-3.2446
145,-3.16991
146,-3.09661
147,-3.02487
148,-2.95479
149,-2.8865
150,-2.82007
151,-2.7556
152,-2.69313
153,-2.63273
154,-2.57444
155,-2.51828
156,-2.46429
157,-2.41248
158,-2.36287
159,-2.31548
160,-2.27031
161,-2.22736
162,-2.18665
163,-2.14816
164,-2.11189
165,-2.07786
166,-2.04605
167,-2.01645
168,-1.98907
169,-1.96391
170,-1.94094
171,-1.92019
172,-1.90162
173,-1.88526
174,-1.87108
175,-1.85909
176,-1.84928
177,-1.84166
178,-1.83621
179,-1.83295
