angle,rsp
0,-5.42044
1,-5.42255
2,-5.42886
3,-5.43939
4,-5.45419
5,-5.47331
6,-5.49682
7,-5.52481
8,-5.5574
9,-5.59472
10,-5.63693
11,-5.68421
12,-5.73678
13,-5.79489
14,-5.85885
15,-5.92899
16,-6.00572
17,-6.08951
18,-6.18092
19,-6.2806
20,-6.38936
21,-6.50813
22,-6.6381
23,-6.78068
24,-6.93768
25,-7.11139
26,-7.30478
27,-7.52183
28,-7.76799
29,-8.05104
30,-8.38265
31,-8.7814
32,-9.27973
33,-9.94219
34,-10.9289
35,-12.8629
36,-13.2548
37,-11.1112
38,-10.088
39,-9.42186
40,-8.93113
41,-8.54517
42,-8.22917
43,-7.9634
44,-7.7356
45,-7.53763
46,-7.36383
47,-7.21006
48,-7.07323
49,-6.95098
50,-6.84144
51,-6.74311
52,-6.65476
53,-6.57541
54,-6.50419
55,-6.44038
56,-6.38336
57,-6.3326
58,-6.2876
59,-6.24794
60,-6.21322
61,-6.18307
62,-6.15716
63,-6.13515
64,-6.11674
65,-6.10161
66,-6.08947
67,-6.07999
68,-6.07289
69,-6.06785
70,-6.06454
71,-6.06266
72,-6.06187
73,-6.06184
74,-6.06225
75,-6.06278
76,-6.06311
77,-6.06295
78,-6.06203
79,-6.0601
80,-6.05696
81,-6.05243
82,-6.0464
83,-6.03881
84,-6.02964
85,-6.01892
86,-6.00676
87,-5.99328
88,-5.97866
89,-5.96311
90,-5.94686
91,-5.93017
92,-5.9133
93,-5.89652
94,-5.88008
95,-5.86424
96,-5.84922
97,-5.83522
98,-5.82244
99,-5.811
100,-5.80103
101,-5.79257
102,-5.78565
103,-5.78021
104,-5.77616
105,-5.77332
106,-5.77143
107,-5.77015
108,-5.76902
109,-5.7675
110,-5.76492
111,-5.76052
112,-5.75344
113,-5.74272
114,-5.72739
115,-5.70644
116,-5.67895
117,-5.64412
118,-5.60133
119,-5.55021
120,-5.49068
121,-5.42293
122,-5.34742
123,-5.26487
124,-5.17612
125,-5.08216
126,-4.98397
127,-4.88257
128,-4.77888
129,-4.67376
130,-4.56798
131,-4.46219
132,-4.35695
133,-4.25274
134,-4.14992
135,-4.04881
136,-3.94966
137,-3.85266
138,-3.75795
139,-3.66564
140,-3.57581
141,-3.48852
142,-3.40379
143,-3.32165
144,-3.2421
145,-3.16513
146,-3.09074
147,-3.0189
148,-2.94959
149,-2.88279
150,-2.81846
151,-2.75659
152,-2.69713
153,-2.64006
154,-2.58535
155,-2.53296
156,-2.48287
157,-2.43504
158,-2.38946
159,-2.34609
160,-2.3049
161,-2.26588
162,-2.229
163,-2.19423
164,-2.16156
165,-2.13097
166,-2.10244
167,-2.07594
168,-2.05147
169,-2.02901
170,-2.00855
171,-1.99007
172,-1.97357
173,-1.95903
174,-1.94645
175,-1.93582
176,-1.92712
177,-1.92037
178,-1.91555
179,-1.91265
